payment_date,payment_amt,agency_name,award_description,fain,recipient_justification,agency_lead_justification,org_name,generated_unique_award_id
05/08/2025,158403914.18,HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,2025 TANF,2501CATANF,"Please be advised TANF25 drew funding for invoices received and processed by the California Department of Social Services for the Temporary Assistance for Needy Families Program. The draw encompasses multiple disbursements of payment. This source of funding is used to assist needy families with children so that children can be cared for in their own homes or in the homes of relatives; end the dependence of needy parents on government benefits by promoting job preparation, work, and marriage; prevent and reduce the incidence of out-of-wedlock pregnancies; and encourage the formation and maintenance of two-parent families. Particular transactions will report under #6a.
",The expenses described are consistent with those that are reasonable for accomplishing the statutory purposes of TANF.,"SOCIAL SERVICES, CALIFORNIA DEPARTMENT OF",ASST_NON_2501CATANF_7590
04/23/2025,156031295.67,HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,2025 TANF,2501CATANF,"Please be advised TANF25 drew funding for invoices received and processed by the California Department of Social Services for the Temporary Assistance for Needy Families Program. The draw encompasses multiple disbursements of payment. This source of funding is used to assist needy families with children so that children can be cared for in their own homes or in the homes of relatives; end the dependence of needy parents on government benefits by promoting job preparation, work, and marriage; prevent and reduce the incidence of out-of-wedlock pregnancies; and encourage the formation and maintenance of two-parent families. Particular transactions will report under #6a and 22a.
",The expenses described are consistent with those that are reasonable for accomplishing the statutory purposes of TANF.,"SOCIAL SERVICES, CALIFORNIA DEPARTMENT OF",ASST_NON_2501CATANF_7590
04/30/2025,67776536.65,HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,GY2024 ORR REFUGEE CASH AND MEDICAL ASSISTANCE,2401FLRCMA,"Florida requests $67,776,536.65 in reimbursement for eligible expenditures incurred April 1&ndash;15, 2025, under the Refugee Cash &amp; Medical Assistance Grant (Award #2401FLRCMA, FAIN #2401FLRCMA). Costs include payroll and operations for staff managing eligibility, casework, compliance, and benefits coordination to ensure timely aid for refugees. The request also covers contracts for: (1) State Data Center and Mainframe Services supporting secure IT systems essential to program delivery; (2) Health Assessments for new arrivals to identify urgent needs and connect to care; and (3) Immunizations to protect public health and meet school/work requirements. These efforts support Assistance Listing 93.566&rsquo;s goal to promote refugee integration and self-sufficiency in the U.S.",The expenses described are consistent with the purpose of the RCMA program. The expenses as described are generally reasonable for this program.,FL Department of Children and Families,ASST_NON_2401FLRCMA_7590
04/23/2025,67071341,HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,ADPTASST-2025,2501CAADPT,Payment of various invoices received for adoptions&nbsp;controlled by CDSS. Payment due date 04/24/2025,The expenses appear consistent with the purpose of the title IV-E adoption assistance.  Additional supporting documentation of the expenditures are coordinated by the submission of the CB-496 form.,"SOCIAL SERVICES, CALIFORNIA DEPARTMENT OF",ASST_NON_2501CAADPT_7590
05/08/2025,61370805.11,HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,FOSTER-2025,2501CAFOST,"Please be advised FC25 drew funding for invoices received and processed by the California Department of Social Services for Foster Care. The draw encompasses multiple disbursements of payment. This source of funding provides safe and stable out-of-home care for children under the jurisdiction of the state or tribal child welfare agency until the children are returned home safely, placed with adoptive families, or placed in other planned arrangements for permanency. The program provides funds to assist with the costs of foster care maintenance for eligible children; administrative costs to manage the program; and training for public agency staff, foster parents and eligible professional partner agency staff. PMS05/09/2025",The expenses appear consistent with the purpose of the title IV-E foster care.  Additional supporting documentation of the expenditures are coordinated by the submission of the CB-496 form.,"SOCIAL SERVICES, CALIFORNIA DEPARTMENT OF",ASST_NON_2501CAFOST_7590
05/07/2025,55074912,HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,2025 TANF,2501ILTANF,"Temporary Assistance for Needy Families Block Grant.  This payment request is used to pay for TANF program administrative costs, childcare vouchers, and work, education and training vouchers. 

The request for payment is based upon the TSA’s Monthly Payment Schedule to allow for deposit in a State account on the median business day of the month.  It is based upon a prorated share of the lesser of the annual grant divided by 12, or the total amount of Federal funds expected to be paid out for program purposes during the year divided by 12.  

ACF 196R Additional Child Welfare Services Line 20C. A request for $17.2M in compensation for the Illinois Department of Children and Family Services (IDCFS) that provides the collection of client eligibility information necessary to perform TANF eligibility determinations.  Per an IGA with IDCFS, DHS TANF compensates IDCFS $17,200,000 quarterly in the mid month of the quarter ending 6/30/25. 

ACF 196R Child Care Assistance and non-Assistance Line 11A. A request for $37M in reimbursement/compensation of Child Care Expenditures for families that need child care to work, participate in work activities, or for respite purposes.  Draws are based upon actual voucher expenditures for the month of May and anticipated needs for the remaining month of May based upon the TSA agreement.    


ACF 196R Additional Work Activities Line 9C. A request for $874,912 in reimbursement/compensation for Work Education and Training Activities contractual expenditures based upon actual voucher expenditures for the month of May and anticipated needs for the rest of the month of May based upon the TSA agreement.    

",The expenses described are consistent with those that are reasonable for accomplishing the statutory purposes of TANF.,ILLINOIS DEPT OF HUMAN SERVICES,ASST_NON_2501ILTANF_7590
05/01/2025,49513103.1,HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,SCSS-2025,2501CASCSS,93.563 CSE program expenditures that include the monthly allocation for CA Local Child Support Agencies for May 2025.,"The expenses described appear to be reasonable and consistent with the purpose of the Child Support Program.  				
",CA ST DEPT OF CHILD SUPPORT SERVICES,ASST_NON_2501CASCSS_7590
04/17/2025,37065525.14,HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,CCDD-2025,2501PACCDD,Payments were made to Early Learning Resource Centers to support Pennsylvania&rsquo;s child care subsidy and quality rating and improvement systems in accordance with our approved CCDF/TANF/SNAP state plans.&nbsp; These payments ensure Pennsylvanians who meet program income requirements have access to quality child care.,The expenses described are generally reasonable and consistent with the purpose of the Head Start Grant program. ,PA ST DEPARTMENT OF PUBLIC WELFARE,ASST_NON_2501PACCDD_7590
05/01/2025,34008117,HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,CCDD-2024,2401ALCCDD,Reimbursement for Child Care expenses.,Expenditures appear consistent with grant purposes as described by the grantee.  ,AL ST DEPARTMENT OF HUMAN RESOURCES,ASST_NON_2401ALCCDD_7590
05/02/2025,31905000,HHS-ADMINISTRATION FOR CHILDREN & FAMILIES,2025 TANF,2501MATANF,Reimbursable child care expenditures through the TANF program,The expenses described are consistent with those that are reasonable for accomplishing the statutory purposes of TANF.,DEPARTMENT OF TRANSITIONAL ASSISTAN,ASST_NON_2501MATANF_7590
