payment_date,payment_amt,agency_name,award_description,fain,recipient_justification,agency_lead_justification,org_name,generated_unique_award_id
05/05/2025,30712907.55,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,.  Additional information has been provided to the FEDS,"The recipient has provided additional documentation via GrantSolutions. CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.","HEALTH, MARYLAND DEPARTMENT OF",
05/06/2025,16212767.76,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"Payment is for reimbursement of costs incurred and authorized to support and complete the approved project objectives for the time period of 04/08/2025 to 04/30/2025. We certify that these costs below are reasonable, necessary, allocable, and otherwise allowable in accordance with the award terms and conditions for award 19NU50CK000515EDEXC5.&nbsp; &nbsp;Payments include Salary and Fringe - $606,708.87; Contracts - $10,862,779.71; Goods and Services - $2,099,720.33; Travel - $1,112.37; (Other) Intra/Interagency Reimbursements - $55,205.28; Indirect Costs - $2,587,241.20.","The recipient uploaded additional justification to GrantSolutions as a grant message. CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.",WA ST DEPARTMENT OF HEALTH,
04/24/2025,15520690.68,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"These expenditures were incurred in accordance with the award terms and conditions for 19NU50CK000510EDEXC5.  As part of the CARES Act and Paycheck Protection Program and Health Care Enhancement Act supplements, the ELC awarded approximately $11 billion in 2020 to help address the domestic response to COVID-19. To provide additional critical support to jurisdictions as they continue to address COVID-19 within their communities, $19.11 billion from the Coronavirus Response and Relief Supplemental Appropriations Act of 2021, P.L. 116-260, will be provided to ELC recipients. These additional resources, by law, are intended to “prevent, prepare for, and respond to coronavirus” by supporting testing, case investigation and contact tracing, surveillance, containment, and mitigation. Such activities may include support for workforce, epidemiology, use by employers, elementary and secondary schools, child care facilities, institutions of higher education, long-term care facilities, or in other settings, scale up of testing by public health, academic, commercial, and hospital laboratories, and community-based testing sites, mobile testing units, health care facilities, and other entities engaged in COVID–19 testing, and other activities related to COVID–19 testing, case investigation and contact tracing, surveillance, containment, and mitigation (including interstate compacts or other mutual aid agreements for such purposes).  See 5/01/2025 grant message for an expense category breakdown.","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities.  Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.  ",MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,
04/29/2025,15373188.9,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"Expenses for March - April 2025 for salaries - $99,934.53, Fringe - $58,898.44, Travel $26,955.26, Rentals/Leases - $8,284.33, Communication - $7,306.17, Professional Contracts - $410.80, Supplies - $10,367.44, Indirect Cost - $49,503.93, Subrecipient payments to Disability Resource Network - $69,300.85, Independent Living Center of Mobile - $32,160.47, Independent Living Resources of Greater Birmingham, Inc. - $19,564.20, Independent Rights and Resources - $16,598.73, Jefferson County Board of Health - $619,557.78, Mobile County Board of Health - $1,169,835.07, Alabama Public Health Care Authority - $4,025,322.34, United Ways of Alabama - $405,280.95, and the University of Alabama at Birmingham - $8,714,198.24, transportation costs - $28,016.12 and equipment of $11,693.25.","This drawdown is allowable and is consistent with the recipient's scope of work. The recipient's budget has been reviewed, and the drawdown is in alignment with the approved budget.",AL ST DEPARTMENT OF PUBLIC HEALTH,
05/08/2025,13586283.01,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"Grant #NU50CK000559. Budget period 8/1/20-7/31/27; Salaries-$190,592.08, Fringe-$169,266.88; Supplies-$9,460.86; Subcontracts: Medical Research Analytics-$72.34, Hektoen Institute Medical Research-$295,633.03; Contractors: Stericycle Inc-$270.36, Federal Express Corp-$38,152.44, Deloitte Consulting LLP-$12,586,290.60, Technology Management Revolving Fund-$296,544.42","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities.  Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.  

",IL  ST  DEPT OF PUBLIC HEALTH,
04/30/2025,12061231.51,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"Payment is for reimbursement for Covid project relevant contractual expenses of approx. $13,000,000 to counties, college/university, nonprofit and private orgs.,  as well as professional services for IT, software and process consulting. Approx. 2% / $241,224.61 for personnel and fringe benefits, and approx. 2% / $240,000 for supplies and travel expenses.  2.51% or $302,737 for IDOH indirect expense charges incurred from 01/01/2025 to 03/24/2025.  All costs incurred are authorized to support and complete the approved project objectives. We certify that these costs are reasonable, necessary, allocable, and otherwise allowable in accordance with the award terms and conditions for award   19NU50CK000503C4, Grant NU50CK000503, NOFO CDC-RFA-CK19-1904 .","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.",INDIANA STATE DEPARTMENT OF HEALTH,
04/29/2025,10627643.03,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"Requesting payment for the final drawdown grant# 6 NH75OT000097-01-04; Bud period:06/01/2021-03/24/2025; This payment includes reconciliation for Salaries, Fringe, fees, equipment, data cost, supplies, contracts, county expenses, and IDC.","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, reasonable, and consistent will result in disallowed costs and the funds will be recovered.",OK ST DEPARTMENT OF HEALTH,
04/30/2025,8292647.72,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"	Contractual
                218,730.12 	Const - InterSt Resurface
	Colleges/Universities
                  82,500.00 	BOONE COUNTY
                  55,000.00 	CARROLL COUNTY
                  55,000.00 	HARRISON COUNTY
                  55,000.00 	MARSHALL COUNTY
                  55,000.00 	MARTIN COUNTY
                  55,000.00 	OHIO COUNTY
                  55,000.00 	PARKE COUNTY
                  55,000.00 	POSEY COUNTY
                  55,000.00 	SPENCER COUNTY
                  55,000.00 	SULLIVAN COUNTY
                  55,000.00 	UNION COUNTY
                  55,000.00 	VERMILLION COUNTY
                  55,000.00 	WHITE COUNTY
	Grants - Counties
                110,000.00 	ADAMS COUNTY
                  55,000.00 	BENTON COUNTY
                220,000.00 	BOARD OF COMMISSIONERS OF THE COUNTY OF
                220,000.00 	CLARK COUNTY, STATE OF INDIANA
                  55,000.00 	CLAY COUNTY
                  55,000.00 	CRAWFORD COUNTY
                110,000.00 	DAVIESS COUNTY
                165,000.00 	DEARBORN COUNTY
                  55,000.00 	DECATUR COUNTY
                  55,000.00 	FOUNTAIN COUNTY
                  55,000.00 	FRANKLIN COUNTY
                165,000.00 	HANCOCK COUNTY TREASURER
                454,923.88 	HEALTH & HOSPITAL CORP OF MARION COUNTY
                165,000.00 	HOWARD COUNTY
                110,000.00 	JACKSON COUNTY
                110,000.00 	JASPER COUNTY
                110,000.00 	LAWRENCE COUNTY AUDITOR/TREASURER
                110,000.00 	MONROE COUNTY
                165,000.00 	MORGAN COUNTY
                  55,000.00 	OWEN COUNTY
                110,000.00 	PUTNAM COUNTY BOARD OF COMMISSIONS
                  55,000.00 	RANDOLPH COUNTY
                  55,000.00 	RIPLEY COUNTY
                  55,000.00 	RUSH COUNTY
                  55,000.00 	SCOTT COUNTY
                  55,000.00 	SWITZERLAND COUNTY
                  55,000.00 	WARREN COUNTY
                165,000.00 	WAYNE COUNTY
                  56,002.13 	INDIANA COMMUNITY HEALTH WORKERS
                  32,053.45 	LEGACY FOUNDATION INC
                  10,052.34 	LIFESPRING INC
                  35,020.39 	MINORITY HEALTH COALITION OF
                  26,563.37 	OAKLAWN PSYCHIATRIC CENTER INC
                    4,924.29 	ROCK COMMUNITY CENTER FOR YOUTH CHILDREN
                    6,053.33 	SOUTHEAST NEIGHBORHOOD DEVELOPMENT
                217,068.48 	TECHSERV CORP
                  11,320.69 	TRUSTEES OF PURDUE UNIVERSITY
             2,518,012.00 	HYGIENA LLC
                  74,820.00 	TALITHA KOUM WOMEN'S RECOVERY HOUSE
                388,464.25 	TECHSERV CORP
	Fringe Benefits
                  77,789.48 	Fringe Benefits
	Indirect
                165,653.00 	Indirect 
	Personnel
                170,990.52 	Personnel
	Supplies
                  30,046.56 	MCKESSON MEDICAL SURGICAL MN SUPPLY INC
                297,523.96 	PACIFIC BIOSCIENCES OF CALIFORNIA INC
	Travel
                    4,135.48 	OutoSt Travel - Per Diem&Meal/NALINI MOHAN AMBATY
","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.",INDIANA STATE DEPARTMENT OF HEALTH,
04/23/2025,8054074.15,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"These reimbursement payments are for cost incurred in April 2025. $4,118,195.88 includes: Payroll, Operating Services (fedex, alarm protection, parking) and Contract (minitab, SHI, STCHealth). $1,246,082.99 includes: Payroll, Operating Services, Travel and Contracts (STCHealth, SHI). $3,934,688.70 includes: Contracts (STCHealth, SHI). $406,937.83 includes: Contracts (STCHealth).","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered","LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC HEALTH",
05/06/2025,8030290.42,HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Not available,,"1. CDC-RFA-CK19-1904 2. NU50CK000501 (932) 3. 08/19 - 03/25 4. Payment to record monthly indirect cost expenses 5. $8,030,290.42 category indirect costs","CDC approves the requested drawdown in line with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, Subpart E—Cost Principles, and the HHSA Grants Policy Statement —Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered.",TX DEPT OF STATE HEALTH SERVICES,
