payment_date,payment_amt,agency_name,award_description,fain,recipient_justification,agency_lead_justification,org_name,generated_unique_award_id
04/23/2025,1136394011.39,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,Not available,,Reimbursement of Spent Funds. Provides coverage and cost-sharing protections against excessive out-of-pocket spending that are at least as affordable as without the waiver; provides coverage to at least a comparable number of residents as without the waiver,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",NY ST DEPT OF HEALTH,
04/24/2025,9455438.5,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,Not available,,"$247.50, Fiscal year 24/25, Contract_Critical Incident  Management, Reimbursement for approved staff who conduct critical incident review and monitoring of  unexplained and suspicious deaths of individuals receiving home-and community based services to establish preventative actions, accountability, and potential legal proceedings.

$483,716.71, Fiscal year 24/25, Services-Home and Community Based Services, Reimbursement for approved MFP enrolled individuals' qualified HCBS.

$104,811.19, Fiscal year 24/25, Services-Home and Community Based Services, Reimbursement for approved MFP enrolled individuals' qualified HCBS.

$6,690,791.50, Fiscal year 24/25, Services-Home and Community Based Services, Reimbursement for approved MFP enrolled individuals' qualified HCBS.

$2,175,871.60, Fiscal year 24/25, Services-Home and Community Based Services, Reimbursement for approved MFP enrolled individuals' qualified HCBS.","CMS approves the payment(s) requested.  Activities must align with your agency’s Notice of Award, 2 CFR Part 200, Subpart E - Cost Principles, 45 CFR 75, and the HHS GPS - revised 4/16/2025. HHS Costs expended that are not allowable, allocable, reasonable, and necessary will result in disallowed costs and the funds will be recovered.
",PA ST DEPARTMENT OF PUBLIC WELFARE,
05/06/2025,2515551,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,MEDICARE ENTITLEMENT FOR MINNESOTA - FY 2025 - AWARD PAYMENT FOR APPROVED FEDERAL SURVEY AND CERTIFICATION ACTIVITY FOR BOTH THE MEDICARE AND MEDICAID PROGRAMS,2505MN5000,"Payment request for Medicare, for federal fiscal year 2025, quarter two, for State Agency Reimbursements: $2,515,551.00.","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222",MN ST DEPARTMENT OF HEALTH,ASST_NON_2505MN5000_7530
05/08/2025,2280007.44,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,MEDICARE ENTITLEMENT FOR CALIFORNIA - FY 2025 - AWARD PAYMENT FOR APPROVED FEDERAL SURVEY AND CERTIFICATION ACTIVITY FOR BOTH THE MEDICARE AND MEDICAID PROGRAMS,2505CA5000,"Requesting Payroll and Program support payments for TITLE 18-L&amp;C (NON-LONG TERM CARE)SUPPORT, Grant #2505CA5000, Budget period 10/01/24-09/30/25, Payment to Salary Cost-$2,280,007.44 for month of March 2025.","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222",California Dept of Public Health,ASST_NON_2505CA5000_7530
05/08/2025,1596624.21,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,MEDICARE ENTITLEMENT FOR INDIANA - FY 2025 - AWARD PAYMENT FOR APPROVED FEDERAL SURVEY AND CERTIFICATION ACTIVITY FOR BOTH THE MEDICARE AND MEDICAID PROGRAMS,2505IN5000,Federal Cash draw for T18,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222",INDIANA STATE DEPARTMENT OF HEALTH,ASST_NON_2505IN5000_7530
05/06/2025,1310059.79,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,Not available,,Reimbursement of Spent Funds. Provides coverage and cost-sharing protections against excessive out-of-pocket spending that are at least as affordable as without the waiver; provides coverage to at least a comparable number of residents as without the waiver,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222",NY ST DEPT OF HEALTH,
05/02/2025,933660.53,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,MEDICARE ENTITLEMENT FOR CALIFORNIA - FY 2025 - AWARD PAYMENT FOR APPROVED FEDERAL SURVEY AND CERTIFICATION ACTIVITY FOR BOTH THE MEDICARE AND MEDICAID PROGRAMS,2505CA5000,"Requesting Payroll and Program support payments for TITLE 18-L&amp;C (NON-LONG TERM CARE)SUPPORT, Grant #2505CA5000, Budget period 10/01/24-09/30/25, Salary-$933,660.53","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",California Dept of Public Health,ASST_NON_2505CA5000_7530
04/30/2025,753005.3,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,MEDICARE ENTITLEMENT FOR ILLINOIS - FY 2025 - AWARD PAYMENT FOR APPROVED FEDERAL SURVEY AND CERTIFICATION ACTIVITY FOR BOTH THE MEDICARE AND MEDICAID PROGRAMS,2505IL5000,"Grant #2505IL5000 Medicare. Budget period 10/1/24-9/30/25; Salaries - $407,890.56, Fringe - $328,054.36; Travel - $17,060.38","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222",IL  ST  DEPT OF PUBLIC HEALTH,ASST_NON_2505IL5000_7530
04/23/2025,727999,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,MEDICARE ENTITLEMENT FOR NORTH CAROLINA - FY 2025 - AWARD PAYMENT FOR APPROVED FEDERAL SURVEY AND CERTIFICATION ACTIVITY FOR BOTH THE MEDICARE AND MEDICAID PROGRAMS,2505NC5000,Reimbursement of Payroll and Fringe Benefits,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222",STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SE,ASST_NON_2505NC5000_7530
04/30/2025,667103.03,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,MEDICARE ENTITLEMENT FOR CALIFORNIA - FY 2025 - AWARD PAYMENT FOR APPROVED FEDERAL SURVEY AND CERTIFICATION ACTIVITY FOR BOTH THE MEDICARE AND MEDICAID PROGRAMS,2505CA5000,"Requesting payment for TITLE 18-L&amp;C (NON-LONG TERM CARE)SUPPORT, Grant #2505CA5000 , Budget period 10/01/2024 &ndash; 09/30/2025,  3rd Quarter Statewide Cost Allocation Plan Cost for Jan to Mar 2025-$667,103.03.","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222",California Dept of Public Health,ASST_NON_2505CA5000_7530
04/22/2025,644347.07,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,Not available,,"We are requesting $641,468.01 to cover provider payments under the ""Subrecipient"" budget category. These costs support qualified HCBS services in the approved project plan. We are requesting $2,879.06 to cover indirect costs under the ""Indirect"" budget category in accordance with our HHS approved cost allocation plan. These costs support administration of the approved project plan.","CMS approves the payment(s) requested.  Activities must align with your agency’s Notice of Award, 2 CFR Part 200, Subpart E - Cost Principles, 45 CFR 75, and the HHS GPS - revised 4/16/2025. HHS Costs expended that are not allowable, allocable, reasonable, and necessary will result in disallowed costs and the funds will be recovered.",Ohio Department of Medicaid,
05/08/2025,593810.99,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,MEDICARE ENTITLEMENT FOR OHIO - FY 2025 - AWARD PAYMENT FOR APPROVED FEDERAL SURVEY AND CERTIFICATION ACTIVITY FOR BOTH THE MEDICARE AND MEDICAID PROGRAMS,2505OH5000,Payment Justification: Payroll  SALARY 80%=$475048.79 FRINGE 20%=118762.2,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222",OH ST DEPARTMENT OF PUBLIC HEALTH,ASST_NON_2505OH5000_7530
05/02/2025,580254.58,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,MEDICARE ENTITLEMENT FOR NEW YORK - FY 2025 - AWARD PAYMENT FOR APPROVED FEDERAL SURVEY AND CERTIFICATION ACTIVITY FOR BOTH THE MEDICARE AND MEDICAID PROGRAMS,2505NY5000,Reimbursement of Spent Funds. To provide financial assistance to any State which is able and willing to determine through its State health agency or other appropriate State agency that providers and suppliers of health care services are in compliance with Federal regulatory health and safety standards and conditions of participation.,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",NY ST DEPT OF HEALTH,ASST_NON_2505NY5000_7530
05/05/2025,579290.14,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,"MEDICARE ENTITLEMENT FOR ARKANSAS - FY 2024 - SURVEY AND CERTIFICATION IS A CMS ADMINISTERED PROGRAM THAT PROVIDES MEDICARE AND MEDICAID FUNDING TO STATE SURVEY AGENCIES TO ENSURE HEALTHCARE PROVIDERS ACROSS THE NATION MEET APPLICABLE QUALITY STANDARDS THROUGH ONSITE, OBJECTIVE, AND OUTCOME-BASED VERIFICATION ACTIVITIES CARRIED OUT BY KNOWLEDGEABLE AND TRAINED INDIVIDUALS.",2405AR5000,"Draw will cover payment of direct and indirect expenditures that are allowable, reasonable, and necessary to carry out approved program activities.&rdquo;","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222","HUMAN SERVICES, ARKANSAS DEPARTMENT OF",ASST_NON_2405AR5000_7530
04/25/2025,551237.38,HHS-CENTERS FOR MEDICARE & MEDICAID SERVICES,MEDICARE ENTITLEMENT FOR OHIO - FY 2025 - AWARD PAYMENT FOR APPROVED FEDERAL SURVEY AND CERTIFICATION ACTIVITY FOR BOTH THE MEDICARE AND MEDICAID PROGRAMS,2505OH5000,"Ohio Dept of Health costs incurred April 6 to April 19,  2025. Payment Justification: Payroll and Fringe for Staff","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222",OH ST DEPARTMENT OF PUBLIC HEALTH,ASST_NON_2505OH5000_7530
