piid,agency,vendor,value,description,fpds_status,fpds_link,deleted_date,savings
75D30122C13958,Department of Health and Human Services,WALGREEN CO.,3372581216.5,"Increasing Community Access to Testing, Treatment and Response (ICATT). The ICATT program provides access to no-cost COVID-19 testing in U.S. communities to people that are uninsured and no-cost COVID-19 vaccines to people that are underinsured and uninsured.",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122C13958&modNumber=P00014&idvAgencyID=&idvPIID=&contractType=AWARD,7/15/2025,3066368971
75D30122C13954,Department of Health and Human Services,"CVS PHARMACY, INC",3448342863,"Increasing Community Access to Testing, Treatment and Response (ICATT)",Expired,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122C13954&modNumber=P00014&idvAgencyID=&idvPIID=&contractType=AWARD,7/1/2025,1946836297.83
75D30122C13955,Department of Health and Human Services,"E3HEALTH SOLUTIONS, LLC",1490156479,"Increasing Community Access to Testing, Treatment and Response (ICATT). The ICATT program provides access to no-cost COVID-19 testing in U.S. communities to people that are uninsured and no-cost COVID-19 vaccines to people that are underinsured and uninsured.",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30122C13955&modNumber=P00016&idvAgencyID=&idvPIID=&contractType=AWARD,7/15/2025,1386783381
75ACF125F59002,Department of Health and Human Services,KIND INC,212874891.58,POST-RELEASE LEGAL SERVICES (PRLS),TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF125F59002&modNumber=P00002&idvAgencyID=&idvPIID=75ACF125D00003&contractType=AWARD,3/17/2025,212748114.7
75ACF125F59003,Department of Health and Human Services,KIND INC,211111303.26,POST-RELEASE LEGAL SERVICES (PRLS).,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7590&PIID=75ACF125F59003&modNumber=P00002&idvAgencyID=&idvPIID=75ACF125D00003&contractType=AWARD,3/17/2025,210937772.16
47QFCA23F0058,Department of Health and Human Services,BOOZ ALLEN HAMILTON INC.,1675731541,DATA MODERNIZATION ACCELERATOR FOR CENTERS FOR DISEASE CONTROL AND PREVENTION,CHANGE ORDER,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=4732&PIID=47QFCA23F0058&modNumber=P00024&idvAgencyID=&idvPIID=47QTCK18D0004&contractType=AWARD,8/27/2025,158001902.7
75FCMC24F0060,Department of Health and Human Services,RESEARCH TRIANGLE INSTITUTE,179606213,HEALTH APPLIED RESEARCH: MAKING CARE PRIMARY DESIGN AND OPERATIONS,OTHER ADMINISTRATIVE ACTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC24F0060&modNumber=P00006&idvAgencyID=&idvPIID=75FCMC19D0095&contractType=AWARD,9/26/2025,137862691
75D30124F19709,Department of Health and Human Services,FAMILY HEALTH INTERNATIONAL,142824977.1,HUMAN IMMUNODEFICIENCY VIRUS COMMUNICATIONS PROGRAM,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F19709&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA22D001F&contractType=AWARD,6/3/2025,124557643.55
75FCMC23F0133,Department of Health and Human Services,CARAHSOFT TECHNOLOGY CORP.,2173374973.51,CURRENT SOURCES OF INCOME AND EMPLOYMENT VERIFICATION SERVICE,EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC23F0133&modNumber=P00009&idvAgencyID=&idvPIID=47QSWA18D008F&contractType=AWARD,9/26/2025,107099849.46
75N91024F00001,Department of Health and Human Services,"DLH, LLC",138930084.29,"DESKTOP MANAGEMENT AND USER SUPPORT, NATIONAL CANCER INSTITUTE",TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91024F00001&modNumber=P00004&idvAgencyID=&idvPIID=75N91023A00008&contractType=AWARD,6/6/2025,80396142.05
75FCMC25FJ022,Department of Health and Human Services,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",950094283,"PROVIDE CLOUD-BASED INFRASTRUCTURE FROM COMMERCIAL CLOUD SERVICE PROVIDERS SUCH AS MICROSOFT AZURE GOVERNMENT AND AMAZON WEB SERVICES, AS WELL AS SOFTWARE, HARDWARE, TOOLS, PROF...",CHANGE ORDER,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7530&PIID=75FCMC25FJ022&modNumber=P00004&idvAgencyID=&idvPIID=47QTCK18D0003&contractType=AWARD,7/22/2025,71300149
75N91021C00013,Department of Health and Human Services,"TECHNICAL RESOURCES INTERNATIONAL, INC.",171423571,"CLINICAL TRIALS SPONSOR AND REGULATORY MANAGEMENT SUPPORT SERVICES FOR THE NATIONAL CANCER INSTITUTE (NCI), THE CENTER FOR CANCER RESEARCH (CCR)",EXERCISE AN OPTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7529&PIID=75N91021C00013&modNumber=P00008&idvAgencyID=&idvPIID=&contractType=AWARD,9/29/2025,55905084
