payment_date,payment_amt,agency_name,award_description,fain,recipient_justification,agency_lead_justification,org_name,generated_unique_award_id
04/29/2025,5818197,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,Reimbursement of project-related expenses to complete approved scope of work of referenced award/subaccount. $5.7M in subcontract and $70K in payroll.,"NIH approves the payment for      UAG024904D       in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",NORTHERN CALIFORNIA INSTITUTE FOR RESEARCH & EDUCATION,
05/08/2025,5074426.81,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Requesting payment for Award Number 1U19AI171421-01; Expenditure period 10/2/2023 - 4/30/2025; Salary: $99,675.01, Fringe: $30,524.41, Repair &amp; Maint: $28,773.71, Exp Materials &amp; Services: $3,019,924.82, Other: $3,248.81, Sub-Awards: $69,012.75, Indirect Costs: $1,823,267.30","NIH approves the payments for 4040573818 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",THE LELAND STANFORD JUNIOR UNIVERSITY,
05/09/2025,4125924.33,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Payment is justified for the THEA program (1AY2AX000056-01) for Viability, Imaging, Surgical, Immunomodulation, Ocular preservation and Neuroregeneration (VISION) Strategies for Whole Eye Transplant, Milestone 2, Task 1B was accepted by the Program Manager on May 7, 2025.","The payment is approved for tasks performed as specified in Milestone 2, Task 1B, in support of the THEA program to transplant whole human eyes to restore vision for the blind and visually impaired.",THE LELAND STANFORD JUNIOR UNIVERSITY,
04/25/2025,3120567.61,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"This invoice includes purchase of 10,479 genetic tests to support planned redemptions in May 2025.","NIH approves the payment for OOD038258A in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",COLOR HEALTH INC,
04/28/2025,2952795.97,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Requesting reimbursement for expenses, to include personnel, OTPS and IDC, incurred on grant.","NIH approves the payments for 4040555535 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",HACKENSACK MEDICAL CENTER,
04/25/2025,2654379.81,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,March 2025 AWS usage,"NIH approves the payment for OOD027852B in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.","FOUR POINTS TECHNOLOGY, L.L.C.",
05/08/2025,2646293.73,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"NIAID AWARD, SDMC: HIV VACCINE TRIALS NETWORK (HVTN), APRIL AND MAY  2025 REIMBURSMENT OF ALLOWABLE TOTAL PROJECT COSTS BUDGETED AND APPROVED BY THE FUNDING AGENCY ON AN AWARD 5 UM1 AI068635-20","NIH approves the payment for UAI068635D in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",FRED HUTCHINSON CANCER CENTER,
04/29/2025,2556295.81,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Standard monthly request, subawards and member site payments","NIH approves the payments for 4040557435 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",NRG ONCOLOGY FOUNDATION INC,
04/22/2025,2352508,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Payment is justified upon completion of Milestone #3, as accepted by the Program Manager, Andrew Brack, PhD. PATH project to pilot technology for chronic disease prediction starting with Type 2 Diabetes (T2DM)","NIH approves the payment for AAX000072A in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",BUCK INSTITUTE FOR RESEARCH ON AGING,
05/02/2025,2351032.16,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement of expenditures, direct and associated indirect costs, in completion of the scope of work.","NIH approves the payment for       	RAG078533A     in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",UNIVERSITY OF TEXAS AT AUSTIN,
05/05/2025,2257542.61,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,This payment request is for reimbursement of payroll and/or other expenses for this award.,"NIH approves the payments for 4040567137 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",TRUSTEES OF INDIANA UNIVERSITY,
04/25/2025,1957447.61,HHS-NATIONAL INSTITUTES OF HEALTH,Not available,,"Reimbursement requested for allowable, reasonable, and allocable costs incurred for pre-approved budget categories including salaries and wages; fringe benefits; materials and supplies; travel; other direct costs; subaward costs; and indirect costs.","NIH approves the payments for 4040554440 in line with the terms and conditions of the Notices of Award, 2 CFR Part 200, Subpart E—Cost Principles, and the NIH Grants Policy Statement 7.9—Allowability of Costs/Activities. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and funds will be recovered.",CALIFORNIA INSTITUTE OF TECHNOLOGY,
