payment_date,payment_amt,agency_name,award_description,fain,recipient_justification,agency_lead_justification,org_name,generated_unique_award_id
05/06/2025,9844387.67,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Expenditures for CFDA/ALN 93.959 are submitted in alignment with the federally approved budget or state plan for applicable Federal Award Identification Number and comply with all requirements listed in 2 CFR 200 Subpart E &ndash; Cost Principles.,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",HEALTH & HUMAN SVC COMMN TX,
04/24/2025,7698408.85,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"FAIN: 21SM84816A Subaccount: 21SM84816A

We are requesting a payment of $[7,698,408.85] for the period [4/17/25-4/24/25]. The requested funds will be allocated as follows:                                     
•	Personnel: $[1,727,416.27]                        
•	Fringe Benefits: $[478,494.20]                                 
•	Travel: $[13,274.49]                      
•	Equipment: $[0]                             
•	Supplies: $[11.90]                                         
•	Contractual/Subawards: $[3,741,160.03]                                            
•	Other: $[610,376.32]                    
•	Indirect Costs: $[1,127,675.64]

These funds will support the following grant activities in the NoA: Funding for program expenses supporting the 24/7 nationwide 988 Suicide and Crisis Lifeline. 

We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, the NOFO, and the HHS Grants Policy Statement.                                                    
                                             
We also certify that the costs do not violate the Executive Orders Ending Radical and Wasteful Government DEI Programs and Preferencing and Defending Women from Gender Ideology Extremism and Restoring Biological Truth to the Federal Government.    
","SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, 45 CFR Part 75, the NOFO, and the HHS Grants Policy Statement. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest.","MENTAL HEALTH ASSOC OF NEW YORK CITY, INC",
05/02/2025,5874012.75,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Support the state and California 988 Crisis Centers in providing administrative support for California&#39;s 988 Network,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",CA Department of Health Care Services,
05/02/2025,4235622.76,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"The Louisiana Department of Health attests that the payment requested in the amount of $4,235,622.76 is for activities complete on or before the end of the project period of March 24,2025. We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with the terms and conditions of the Notice of Award.","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.","HEALTH, LOUISIANA DEPARTMENT OF",
05/02/2025,4017440.92,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Payment Request for SAMHSA Grant [21B1IDCMHSC6] We are requesting a payment of [$4,017,440.92] for the period July 2024-March 24,2025]. The requested funds will be allocated as follows: &bull; Personnel: $[0.00] &bull; Fringe Benefits: $[0.00] &bull; Travel: $[0.00] &bull; Equipment: $[0.00] &bull; Supplies: $[0.00] &bull; Contractual/Subawards: $[4,017440.92] &bull; Other: $[0.00] &bull; Indirect Costs: $[0.00] These funds will support the following grant activities in the NoA: [community health services]. We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, the NOFO, and the HHS Grants Policy Statement.","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",ID ST DEPT OF HEALTH & WELFARE,
05/09/2025,3314889,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Reimbursement of Spent Funds. To provide financial assistance to States and Territories to enable them to carry out the State&#39;s plan for providing comprehensive community mental health services to adults with a serious mental illness and to children with a serious emotional disturbance; monitor the progress in implementing a comprehensive community based mental health system; provide technical assistance to States and the Mental Health Planning Council that will assist the States in planning and implementing a comprehensive community based mental health system.,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",NYS Office of Mental Health,
04/25/2025,2777103.59,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Approval for this draw was provided by Wendy Pang on April 16 for a total of $2,777,103.59","SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 45 CFR Part 96 and 45 CFR Part 75. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest. ",UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,
04/22/2025,2308045.78,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,March 2025 (closed month expenditures) reimbursement of paid expenditures of Contractual Expenses,"SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 45 CFR Part 96 and 45 CFR Part 75. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest.",MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,
04/28/2025,2289024,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Substance Abuse Prevention: Naloxone Hydrochloride Nasal Spray treatment,"SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 45 CFR Part 96 and 45 CFR Part 75. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest. ",CA Department of Health Care Services,
04/28/2025,2084172.22,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Expenditures to support projects for the development and implementation of prevention, treatment and rehabilitation activities directed to the diseases of alcohol and drug abuse.","SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 45 CFR Part 96 and 45 CFR Part 75. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest. ",DEPARTMENT OF HUMAN SERVICES COLORADO,
05/05/2025,2059435.24,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Reimbursement of Spent Funds. To provide financial assistance to States and Territories to support projects for the development and implementation of prevention, treatment and rehabilitation activities directed to the diseases of alcohol and drug abuse.","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",NYS Office of Alcoholism and Substance Abuse Services,
04/17/2025,1993874.17,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,&quot;Monthly expenditures to cover program cost and salary charges,"SAMHSA approves payment in line with the terms and conditions of the Notice of Award, 45 CFR Part 96, 45 CFR Part 75, and current Executive Orders. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered. ","HEALTH, MARYLAND DEPARTMENT OF",
04/28/2025,1860793,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Feb./March &#39;25 Contract Payments,"SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 45 CFR Part 96 and 45 CFR Part 75. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest. ",ILLINOIS DEPT OF HUMAN SERVICES,
05/07/2025,1785574,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Reimbursement of expenses for Substance Abuse Prevention and Treatment,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",ND ST DEPT OF HUMAN SVCS,
05/09/2025,1778028.75,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Payment request for SAMHSA grant B08TI083964. We are requesting a payment of $1,778,028.75 for the period  5/5/2025. The requested funds are for the following costs: Personnel: $0 * Fringe Benefits: $0 * Travel: $0 * Equipment: $0 * Supplies: $0 * Contractual/Subawards: $1,778,028.75 * Other: $0 * Indirect Costs: $0. The funds support the following activities: Funds provided to Single County Authorities for the provisions of Prevention, Treatment, and Recovery Services. Funds provided through Grant Initiative Funding Applications to Grantees for Recovery Community Support Services.   We certify that the costs are allowable, allocable, reasonable, and necessary in accordance with Notice of Award, 45 CFR Part 96 and 45 CFR Part 75.","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",PA ST Department of Drug and Alcohol Programs,
04/21/2025,1736073.73,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Payment Request for SAMHSA Grant [1B08TI087070-01] We are requesting a payment of $[1,736,073.73] for the period [Insert Time Period]. The requested funds will be allocated as follows: &bull; Personnel: $[0.00] &bull; Fringe Benefits: $[0.00] &bull; Travel: $[0.00] &bull; Equipment: $[0.00] &bull; Supplies: $[0.00] &bull; Contractual/Subawards: $[1,736,073.73] &bull; Other: $[0.00] &bull; Indirect Costs: $[0.00] These funds will support the following grant activities in the NoA: [SUBSTANCE ABUSE PREVENTION, SUD TREATMENT, WOMEN&#39;S FEDERAL, SA RECOVERY]. We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with 45 CvFR Part 75, 2 CFR Part 200, the NOFO, and the HHS Grants Policy Statement.","SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 2 CFR Part 200, 45 CFR Part 75, the NOFO, and the HHS Grants Policy Statement. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest. ",VA Dept of Behavioral Health and Developmental Services,
05/08/2025,1651298.88,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"SM-00-MHBG B09SM085370-01 09/01/21-09/30/25. Nevada is requesting reimbursement of $1,651,298.88 for the period 04/26/2025-05/04/2025. The requested funds will be allocated as follows Payment justification: Subcontractor-Carelon Behavoral Health INC; Travel-employee travel. Summary total of costs: Subcontractor $1,650,657.92; Travel $640.96. We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, the NOFO, and the HHS Grants Policy Statement.","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",DIVISION OF CHILD AND FAMILY SERVICES,
04/17/2025,1584790.03,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,&quot;Monthly expenditures to cover program cost and salary charges,"SAMHSA approves payment in line with the terms and conditions of the Notice of Award, 45 CFR Part 96, 45 CFR Part 75, and current Executive Orders. Costs expended that are not allowable, allocable, and reasonable will result in disallowed costs and the funds will be recovered. ","HEALTH, MARYLAND DEPARTMENT OF",
05/02/2025,1535826.33,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Payment request for SAMHSA grant B08TI088129. We are requesting a payment of $1,535,826.33 for the period&nbsp;4/28 &amp; 4/29/2025. The requested funds are for the following costs: Personnel: $0 * Fringe Benefits: $0* Travel: $423.94* Equipment: $0 * Supplies: $0* Contractual/Subawards: $1,533,738..57 * Other: $0* Indirect Costs: $1,663.82. The funds support the following activities. Funds provided to Single County Authorities for the provisions of Prevention, Treatment, and Recovery Services.  Funds provided for subgrant to support substance use disorder treatment occurring in the State Correctional Institutes. Staff to attend program related conferences and training. Funds provided for telecommunications charges including cell phones. Funds provided for software licenses. We certify that the costs are allowable, allocable, reasonable, and necessary in accordance with Notice of Award, 45 CFR Part 96 and 45 CFR Part 75.","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",PA ST Department of Drug and Alcohol Programs,
04/30/2025,1474492.11,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,"Payment Request for SAMHSA Grant [24B1IDSAPT] We are requesting a payment of $[1,474,492.11] for the period [10/22/204-4/17/2025]. The requested funds will be allocated as follows: &bull; Personnel: $[11,780.05] &bull; Fringe Benefits: $[4,933.64] &bull; Travel: $[0.00] &bull; Equipment: $[0.00] &bull; Supplies: $[0.00] &bull; Contractual/Subawards: $[1,417,765.19] &bull; Other: $[14,848.07] &bull; Indirect Costs: $[24,341.53] These funds will support the following grant activities in the NoA: [Substance Abuse Prevention, Treatment, and Recovery Services Block Grant]. We certify that all costs are allowable, allocable, reasonable, and necessary in accordance with the terms and conditions of the Notice of Award, 45 CFR Part 75, 2 CFR Part 200, the NOFO, and the HHS Grants Policy Statement.			 			 			 			 			 			 			 			 			 			 			 SUD SDI SUD TEAM SUBG OXFORD	Oxford House Inc- new employee training		 SUD SDI SUBG TREATMENT	Magellan Healthcare Inc- Rehab Services-Indviduals		 SUD SDI SUBG TOBACCO PREVENTION CONTRACT	Benchmark","The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",ID ST DEPT OF HEALTH & WELFARE,
04/30/2025,1450849,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Reimbursement of paid grant expenditures,"The requested payment is for a non-discretionary program, which is not subject to the requirements of EO 14222.",PA ST DEPARTMENT OF PUBLIC WELFARE,
04/24/2025,1437927.28,HHS-SUBSTANCE ABUSE & MENTAL HEALTH SERVICES ADMIN,Not available,,Reimbursement of services and administrative costs in alignment with Notice of Awards and Public Assistance Cost Allocation Plan,"SAMHSA approves this payment for costs that are allowable, allocable, reasonable and necessary and in line with the terms and conditions of the Notice of Award, 45 CFR Part 96 and 45 CFR Part 75. Any payments for activities later deemed unallowable by SAMHSA must be refunded to the Federal Government, including interest.",Health Care Authority,
