hcpcs_code,total_paid,total_claims,total_beneficiaries,row_count
T1019,122739547514.26,1100608370,55702849,457916
T1015,49152668633.44,322233922,235393614,2429393
T2016,34904936746.48,69000080,4389789,81288
99213,33002827263.79,764306590,639378224,13566914
S5125,31342185586.04,398071209,19413061,214380
99214,29913857937.71,502480931,432874138,11728025
99284,20151783534.42,170705529,154899942,3980198
H2016,19747791724.79,60739036,4214296,72289
99283,16874996865.61,157926994,144272501,3270001
H2015,16470573872.77,109877296,20834363,272463
99285,15097200452.31,111002396,99843804,2901462
90837,12067590643.09,127195989,56881182,1869501
S5102,9340779714.3,111095812,7491536,96905
90834,8821622005.82,108817687,54295935,1212542
T2021,8653524974.89,55550230,5412523,110852
H2017,8540416258.81,78677933,13916632,292828
T1017,8423668162.81,75144121,30016959,283832
T1020,8212560786.12,33504642,5227037,39648
90999,7739248802.63,90103258,6946377,250573
A0427,7674558268.41,33489615,27655270,293550
92507,7484161290.33,129458330,35866850,945764
H2019,7466162701.3,69547577,18763291,481861
T2033,7422419481.58,16562508,1259038,25005
T1000,7014566028.82,16800136,764197,22131
H2014,6759118318.5,60726091,9274835,131724
H0004,6554190803.84,73272784,27839525,556970
S5140,6394345181.39,40883741,1901945,17873
H0020,6253632954.99,312323784,22496570,125637
97530,6219314705.24,126200638,35441947,1089807
A0429,6056979386.16,31005479,25244819,286605
H0019,5981904018.44,20357508,1373348,39457
T1040,5780366099.56,30095351,9248813,45260
99509,5574554313.58,79677945,5258026,82187
00003,5330165952.54,20180301,14346885,147866
T2023,5213703804.74,12595953,11646618,72685
T1016,5212118019.5,98273616,33883394,203939
97153,5146687913.11,26012994,2018301,73515
97110,4962727015.45,135669845,38834892,1137186
S9124,4956847254.22,11998345,913358,23623
S5130,4894878973.21,87575527,7793135,125420
H2036,4700742263.23,18209988,1519281,34147
T2031,4653708307.01,14265863,1767067,64890
H0036,4540606914.25,56498126,13613698,279936
G0463,4447234569.65,72375290,58015043,812350
S5126,4443797124.69,49138345,1973757,1905
H0018,4400753703.57,10693683,1322160,32016
T2046,4189601279.49,14075770,1003202,28859
U0003,4128082572.09,68714959,49314205,170897
A0100,3993212793.57,157024238,25452658,69392
H2022,3928019188.67,7894247,1003634,20860
99212,3847648825.12,92299154,76120004,1841599
D0120,3814964188.59,136235319,130457725,2280791
H0015,3809191242.52,25053675,3724900,125407
T2022,3746599810.36,18391337,16785628,72494
T2025,3628332154.75,20538486,2875845,26437
D1120,3624050261.27,108321764,104558849,1699599
90832,3570225511.93,65774815,37546209,841396
H2010,3500042360.21,27518924,9810276,105183
A0425,3454672105.34,121772109,62689727,473720
74177,3323587917.01,26928547,24787458,781973
99203,3225842829.2,47756882,44445079,1543645
H0038,3117594686.14,30385812,6326722,138423
80307,2992428809.62,85461430,55301052,463577
H0044,2982141222.3,3051826,2636047,30922
99204,2979909396.45,32379031,30167906,1176939
S5150,2977456445.68,34505170,3531452,49051
99232,2932275950.84,96610775,32691320,1525745
D2392,2869556895.16,36235346,20393012,785138
T2017,2849724381.47,13887144,1150929,20389
99215,2771835859.3,29619773,25340122,926376
T1003,2759177664.01,12404681,2179721,42668
99392,2727768296.37,41373785,38068580,1367476
H2021,2661392215.18,14309379,1867175,39377
99233,2607048925.53,57616401,20935898,1032481
H0040,2572672053.67,13180933,1975321,40846
D1110,2537761528.48,58293656,55647935,1598227
99282,2526347399.16,24203945,22263767,547833
G0156,2486018120.17,49714941,2250778,52701
99391,2473077262.97,37076781,33037065,1228034
H0032,2443669164.68,20015725,10999251,221302
T2003,2441359438.25,108696965,12566260,169070
96361,2419209797.62,20950721,16489288,297849
T1018,2369210319.23,32480648,4779038,44188
S9123,2337005974.63,9197918,1803424,34147
W1793,2256074210.53,13098743,527089,10028
G9012,2253706985.51,20935656,8270802,52632
99199,2244557524.65,173326821,119979378,116848
S5136,2243358096.0,6358331,406627,7280
S5170,2241711930.25,122192059,11645710,36119
D2930,2166119060.34,16494186,5632996,223759
G0378,2159102251.58,12043339,7150821,130742
A0130,2149807062.1,56277367,8527699,83584
70450,2128298144.48,35130760,31444453,926017
S9484,2115456782.07,4527776,1618451,19396
G9005,2075643464.44,12898667,10715973,9151
H0046,2053184468.68,18653459,4412358,91834
93306,1991258854.23,20462495,18942719,700526
H2012,1988568580.84,15388000,1701995,52319
99393,1987400169.92,31410444,29004311,1064407
T2013,1973060556.07,12241625,573523,11581
80053,1951315122.27,226139755,191124835,1664536
90791,1938448204.4,16146970,14119006,467317
G0299,1908639009.0,34048381,6714696,144999
E1390,1894193726.32,37800973,33114896,291212
H0043,1887844846.92,14374131,1457966,20108
T1502,1869997730.74,39292553,2827270,40326
H2011,1863200894.44,6613568,3433025,71153
92014,1855061785.43,34678723,32590752,994516
A0428,1828756960.06,21403107,10997316,115552
H0035,1807047518.47,14129079,1277289,25168
T2020,1806987216.51,16056676,1472778,27809
S5135,1771174312.87,22550913,1470440,29326
D0150,1757757811.28,46846802,44129013,1337726
99211,1731507495.8,44127221,32259778,560277
S5100,1729716817.46,16128307,1619507,38512
S5108,1720759449.17,12092329,809049,7345
T1005,1716881429.05,23726217,2412269,56780
H0039,1703584181.91,13404413,1842531,34236
S5105,1657314393.64,21224538,1985970,21445
H0010,1636591319.63,3875371,547833,10085
0450,1617303226.22,18488280,16340750,62285
D1351,1601573177.15,61783307,16304114,527999
97535,1598401821.03,21914840,4552457,130552
S0215,1544352327.61,57790437,11358883,77811
T1002,1515751669.25,13932247,5951011,95312
D8670,1514897978.61,11143838,10370019,144031
43239,1512205741.06,5956836,5488164,221273
D7140,1477748652.96,23686863,10800064,449691
92508,1458873527.47,110042491,33972157,453977
D1206,1443017133.73,77773830,74829666,1169896
88305,1442671301.94,33352065,28488376,680642
97155,1441434242.1,9439184,1954675,68403
S9122,1428107925.06,12233963,637937,18024
G0300,1394181786.01,17064855,2141302,62805
87491,1391269612.5,65707272,60779963,354411
D2391,1388117898.48,22805479,13241827,556452
99223,1328324527.3,15724018,14031414,629947
H2020,1320072437.58,7996240,2078045,63204
90460,1315894786.54,68551665,52757966,1188311
99291,1313592202.14,10902745,5752369,285635
92004,1297311113.46,20638089,19656773,674558
87591,1284234442.95,65183176,60215497,345388
H2018,1284114421.06,4269218,768358,8430
90853,1281352751.38,35579531,10309447,269812
85025,1268183294.65,276124130,227368740,2259404
H0031,1242653261.8,10496976,8043579,147120
H0005,1241455043.64,23222742,5748648,154725
99394,1237413323.06,18994962,17425695,686970
G0480,1237348004.36,26079221,17658797,153217
H0011,1233576104.9,3724085,583636,11676
J9271,1229899613.4,230803,158878,7201
H0023,1229871219.51,9489348,2987275,17393
96374,1222059064.1,36482989,30889435,569912
T1041,1212193093.36,1364087,1359332,46006
G0483,1152646948.02,10906035,6897204,46901
H2035,1145669127.04,8557719,845352,18548
S5145,1124835072.45,6247271,442367,9777
D7210,1119961530.41,10401864,4315096,168445
74176,1099230928.01,10243561,9340485,343616
90847,1092016160.69,10531444,6027616,168547
90792,1090614935.18,8419882,7489930,271850
D1208,1083552960.72,70737820,68564692,1170690
S9083,1076138930.63,10509615,9314354,116953
96365,1071539000.83,12833815,9021554,191631
G2067,1071044434.59,7609377,2210326,20575
B4161,1049842847.03,2701000,1914181,23262
D0274,1046551415.51,46867644,45127316,1310604
81420,1025001944.65,3494267,3182919,9896
87635,1018708178.79,25850711,22362160,392278
T2030,1017192384.1,891837,760578,25801
A0120,1000327218.97,39043765,7899418,68008
T1025,996683448.65,4374172,328578,10687
D0999,995597894.83,6424392,5126271,78155
H0034,972148045.25,8080524,4364048,53257
T1027,960684952.37,10406447,3326675,60061
T2048,958744313.64,968519,112827,3593
A9276,958644853.12,2806897,2378912,7514
D0230,940042718.2,149565588,69309054,1400453
H0037,936263191.99,5103231,1134038,9204
36415,935786355.69,224973443,181860997,2730219
S9485,931057143.13,2442431,1161662,16231
S0280,925803457.79,6581849,5083508,13486
