month,total_paid,total_claims,total_beneficiaries,row_count,unique_billing_providers
2018-01,9232048522.37,187217689,113342897,2342528,230343
2018-02,8420467832.36,171352502,104351414,2182404,223890
2018-03,9129935988.66,183682093,110825567,2298849,229785
2018-04,8981173692.47,179619696,107694834,2245770,227737
2018-05,9384689427.05,185076176,110182879,2288006,228477
2018-06,8607149265.45,164850507,100094343,2116362,216671
2018-07,8854594623.63,169724543,102373426,2171413,215506
2018-08,9492334835.45,186434915,113633755,2374680,225891
2018-09,8661621043.37,168487953,100688468,2147486,214527
2018-10,9921379666.38,198197925,118334299,2460411,229358
2018-11,9072923512.38,173605775,102742360,2175749,216770
2018-12,8907431063.82,166190908,96922801,2058597,211803
2019-01,10529905105.9,202463697,119769828,2457252,229768
2019-02,9680573063.79,187149977,111443392,2312963,223699
2019-03,10638499933.2,202656457,120287086,2462258,230714
2019-04,10662800690.75,204034522,120056910,2480132,233371
2019-05,10788430160.42,203400802,118335223,2453610,231476
2019-06,9722889154.49,179172702,106684985,2251062,219912
2019-07,10364775003.79,193812066,114502037,2390448,225116
2019-08,10628704037.17,202465238,120864691,2506157,231294
2019-09,10530148010.35,201493119,118468405,2470440,231361
2019-10,11890862793.23,229836010,135188555,2747427,243432
2019-11,10694811682.1,197813102,116101805,2413189,228279
2019-12,10773796446.44,195213165,114234300,2368169,225437
2020-01,12417328718.27,231493965,137689829,2761085,242759
2020-02,11387443071.26,210768595,125598414,2553498,236134
2020-03,10327180044.76,175476623,99482797,2113882,215936
2020-04,8541553016.11,126498275,61588397,1329084,162138
2020-05,9276309404.63,146927456,78755754,1693551,185451
2020-06,10386347586.83,180029356,106053452,2196135,211834
2020-07,11043497587.59,193266077,114313859,2334466,217645
2020-08,10945591115.5,193099010,115506523,2370154,220412
2020-09,11345841778.78,204909864,123211041,2521238,230141
2020-10,12256768912.53,220267867,132414607,2691074,241242
2020-11,11824939391.28,207113269,122921505,2538710,237363
2020-12,12337430898.16,214312315,124912560,2558726,238611
2021-01,12594444977.41,222768005,132228710,2671702,244592
2021-02,11715579066.73,206952736,124043876,2549948,241312
2021-03,14136311330.65,258070549,156505580,3089715,263709
2021-04,13565862878.51,245380331,149825892,2975647,259223
2021-05,13208518113.69,232574191,140839982,2851134,253789
2021-06,13415399746.47,237429997,146382446,2962741,254208
2021-07,13562082770.47,238882520,145916059,2910088,248266
2021-08,14202719417.5,256226837,160167062,3098513,256607
2021-09,14024666614.74,255309350,157555104,3048066,256882
2021-10,14165659978.04,255714420,156923616,3073760,259236
2021-11,13904172445.35,248630420,152067680,3013706,256673
2021-12,14062529938.43,246625408,150467545,2931660,252714
2022-01,14412456539.88,251898388,154227930,2942389,252426
2022-02,13250746218.5,235438630,142007832,2833787,249653
2022-03,15695994584.59,280314489,168967395,3285853,266470
2022-04,14609179171.9,254562730,152489004,3020559,256690
2022-05,14956401093.08,257888000,153619367,3034273,257589
2022-06,14650484215.68,250499963,151557080,3003166,253680
2022-07,14067993433.62,234428626,140813991,2824373,243395
2022-08,15825029409.54,273676256,168047334,3285367,260742
2022-09,15268172192.71,263892615,160193966,3164300,258297
2022-10,15854981611.14,269996140,165023707,3248767,261551
2022-11,15675981809.01,263677624,161598929,3178406,258432
2022-12,15297538611.3,251420641,151497788,2989403,251442
2023-01,16594310221.53,280827661,169068899,3255152,263617
2023-02,15394753399.57,259922326,159161069,3083352,258452
2023-03,17668427237.5,298461892,181503538,3432212,271651
2023-04,16091892914.07,265379484,160074705,3125956,259681
2023-05,17280277362.92,287129748,173088160,3355060,267084
2023-06,16029192012.87,261269038,159831609,3151268,257278
2023-07,15725897305.96,246824756,149350862,2974833,247411
2023-08,17348504365.58,279910801,172191912,3365256,261549
2023-09,16361790144.5,259464154,157552161,3123826,253825
2023-10,17484140655.95,276564708,167534255,3297215,261465
2023-11,16663518408.74,259356081,156863590,3112792,253968
2023-12,16152279164.09,243448023,146156238,2901483,244184
2024-01,17783239324.27,272010590,162984803,3184299,256264
2024-02,17169976799.3,266795878,160469214,3137147,255035
2024-03,17501161887.45,264969435,158793817,3098837,253950
2024-04,17396698624.1,267197354,160628916,3130369,255881
2024-05,17580257320.49,262777836,157025310,3071254,253766
2024-06,15770419278.26,228543520,137979972,2732723,238627
2024-07,16423060106.69,242983356,146362442,2859732,239909
2024-08,16347006139.25,246659583,152243897,2955609,242152
2024-09,15626350800.43,233168618,143311522,2819499,236868
2024-10,16310402111.53,244177082,150107391,2936601,237918
2024-11,12874830358.75,183954822,112295024,2274979,204539
2024-12,4199364318.95,63394189,40837668,879619,117151
