hcpcs_code,total_paid,total_claims,total_beneficiaries,row_count
S9124,187968078.15,304107,14466,500
H2019,128005459.29,2197283,802907,7163
T1017,74016180.13,1477286,240881,1787
T1019,66349787.57,1070170,62177,762
H2017,54072871.46,512338,48074,1006
S9123,53657483.61,91464,5368,194
S5130,51014201.06,1296036,95078,1130
99213,50435279.62,1065908,864527,17050
99214,48589194.47,810262,665669,17250
T1004,30219419.18,496595,30233,683
92507,24909017.2,457824,108184,2785
T1025,22446583.24,103877,7397,299
99284,20488829.89,271594,231990,6055
90999,19129049.2,133317,9769,449
T1015,17975120.92,309043,230169,2755
S9122,16739098.84,94983,4410,200
97530,15229276.47,291926,58841,1800
99283,15217197.86,202754,182362,4142
99285,14954379.52,174959,140470,4637
S5145,14663420.57,88138,7418,211
H0032,14583167.21,250571,228732,4281
S5161,13897168.14,622726,559260,160
S5102,13383448.88,198373,14080,400
H0011,13184408.75,34317,5992,83
V5261,12994211.04,8900,8697,178
H0019,12288764.29,11349,2596,73
H0031,11382016.9,259138,211096,3445
90837,10555565.25,157586,69695,1628
99392,9606039.96,99926,92639,2803
97110,9466854.27,199235,36997,1335
T2030,9462564.24,7707,6935,283
S5135,8893272.25,262004,19800,539
H1000,8729395.32,108408,76201,2320
99204,8320244.8,74761,63093,2833
99391,7481410.19,82561,73268,2472
D0120,7416870.68,293246,280546,2853
D1120,7115170.8,249392,239584,2534
H2014,6833623.85,43660,4437,236
99393,6527700.35,71042,65097,2036
88305,6113314.82,148664,129616,3824
H2036,5554168.4,27340,2630,79
99233,5486583.31,207750,62842,3341
H0018,5444012.55,20489,1732,63
99203,5275572.41,70353,57266,2556
D1110,5185659.64,112450,105272,2375
97155,5116226.84,33265,11396,748
H2000,4955992.79,30405,26988,849
A4657,4947575.15,24595,6570,289
S5100,4744059.44,86611,4735,199
H0004,4740538.29,37489,11446,191
99394,4709363.94,47330,42920,1511
J1644,4681676.15,33881,4779,192
99212,4417530.24,116431,99455,1955
A0427,4264699.18,36847,27685,493
D2392,4234637.0,70356,41396,1338
T2003,4073546.25,73741,4749,116
99223,3983688.18,56127,45501,2184
H2020,3958046.55,26500,4139,220
99282,3743059.79,46670,43168,614
S5150,3728062.74,43754,3829,139
Q4081,3627419.46,39654,1882,62
90460,3488433.28,233256,190403,3259
V5160,3478311.89,13078,12564,306
99232,3311031.55,175793,56221,2966
D2930,3283741.47,35149,14303,502
D8670,3087625.46,33849,31800,443
H0036,2968343.85,34737,7199,76
H0035,2595199.98,31558,2086,76
J2501,2513595.81,13256,1053,39
H0020,2447680.94,49534,12508,284
D0150,2433373.7,75889,71597,2160
S9083,2371003.39,26256,21636,451
V5257,2241196.09,3822,3683,77
76816,2234569.82,37966,31200,649
74177,2185546.05,19390,17369,587
J1756,2091306.57,16974,3352,174
A0429,2076525.23,21758,16685,394
80053,1987017.79,363636,227122,2258
96361,1957006.13,41439,20587,357
J1270,1928273.18,23750,1613,57
70450,1912912.03,38869,32088,1069
84520,1885218.29,12321,4755,241
D0330,1867866.38,49219,47024,1033
88374,1858216.33,19710,10718,163
H0040,1813846.0,104061,2652,37
76811,1804265.6,15781,14329,330
S9480,1797976.06,7496,687,39
85025,1762967.99,411699,238213,2731
D7140,1723553.59,46141,22660,805
97153,1685856.62,13701,2009,79
T1000,1659474.72,6788,286,22
J0606,1628420.09,6250,494,26
87635,1612049.67,114129,100625,1258
90833,1603046.38,56667,41363,556
95812,1577718.91,4360,4277,158
99215,1531163.26,18770,14841,685
H0015,1521649.18,16323,2244,103
97112,1474256.13,31702,3114,165
88185,1460229.2,11781,8446,166
97156,1454507.75,12457,4971,354
D9420,1445627.57,3478,3200,87
D1351,1402774.18,158183,41387,1194
93306,1377265.78,29687,23862,964
U0003,1364857.36,29437,24661,262
43239,1358739.31,7295,6357,334
D2391,1333362.91,31094,19862,775
D1206,1329761.57,125421,117082,2122
T1027,1329197.78,28295,7478,423
92004,1313402.13,17381,16657,732
S5141,1277400.97,21220,4321,24
99222,1234618.74,18558,15181,815
83540,1224312.7,16152,11914,539
84100,1217327.39,58275,21152,831
01967,1208325.17,4143,3840,249
99281,1203419.16,15132,12590,256
74176,1192325.53,17701,14647,670
83970,1149838.69,7811,5001,227
92014,1149597.37,22304,21460,821
85018,1123636.17,81783,56745,1877
83550,1123459.11,14177,10377,474
D0210,1113430.7,28574,25167,1098
80307,1105292.83,63507,36936,949
82310,1071027.63,6146,3634,183
31231,1054347.17,6363,4679,288
J7030,1037339.48,33061,22286,445
V5260,1025120.37,927,900,49
J0887,1021359.32,6077,2780,150
99239,1021018.98,26324,21985,1205
87491,991582.21,49582,44813,824
D0272,989162.54,153085,146555,2110
J0129,960434.68,642,478,31
T2048,957848.78,126,125,7
90791,953079.88,8286,5374,258
88307,951506.13,19888,17810,844
96360,929158.8,14861,7538,196
36415,914487.15,166620,116695,3459
97535,895508.38,19060,1531,92
76819,887181.0,27348,19725,532
D9223,880466.66,3316,2647,71
G9012,870898.7,5580,5125,91
95004,856486.85,4406,4025,201
92012,848390.73,11262,9705,244
D9230,844475.66,49301,44506,922
D7240,832794.15,6742,2080,75
90461,827212.1,82699,72884,1998
G0378,822134.55,34727,16316,346
87591,811419.93,45529,41019,715
99205,810187.37,4411,4163,206
84075,808556.21,5694,4310,192
95165,807761.51,4294,3397,160
H0001,796256.03,29857,18958,853
80048,792048.69,307006,155954,1666
90832,785202.86,95746,23917,856
82040,781705.96,6205,4171,195
78452,774751.19,4235,3185,146
A0428,751338.33,24792,12381,82
H2012,709527.97,17378,2848,154
77067,699196.1,21195,17445,521
D2393,695987.88,7239,4732,289
76818,685273.62,8928,5109,152
87624,680825.12,25830,23966,284
99244,677340.75,4019,3759,168
99395,674202.04,11280,10651,480
D0230,662707.08,255646,208296,2531
82565,660702.67,5221,3793,195
V5241,659525.48,4009,3945,79
84450,652031.16,4836,3641,153
84460,647676.58,4550,3417,137
D1208,641424.58,255525,244846,1876
D1999,627980.8,35588,32720,108
59025,619137.26,16864,12190,371
T2001,604182.5,28013,1587,37
T1007,587466.35,11647,9624,472
H2010,571189.67,21911,21290,245
84155,570882.67,4378,3424,193
99309,570548.58,81716,42195,1149
90834,565383.37,15469,8539,402
88312,561165.63,10852,9379,370
97803,549162.95,68277,60973,622
80051,543867.11,3580,2685,123
D0140,540180.56,48686,43698,1543
D7210,539183.71,6020,1856,97
H0010,525709.17,1455,291,18
87502,525078.89,25674,22350,251
82728,525010.86,15322,9771,461
95819,514823.37,1325,1297,63
17110,513054.21,8680,7847,350
87804,511590.06,100208,62665,1320
92526,502343.16,13150,2728,83
99381,501731.28,5877,5143,288
88175,494546.31,34288,32509,392
71045,492806.32,147587,112854,2959
0202U,490680.81,7212,6623,160
E1390,482924.3,13330,9900,228
G0238,476604.9,9161,990,52
99385,472909.7,7889,7466,316
U0002,468317.51,32960,27831,611
D0274,467037.22,103661,98333,1999
76815,464357.59,22028,17907,525
87481,455842.52,24118,9333,172
D8660,446672.05,5442,5295,191
99220,443273.76,4620,3430,210
97802,439468.42,67919,55473,1198
99291,436121.47,7229,3119,212
D0220,431657.54,253590,238213,3196
87798,428123.65,25433,10210,282
J1885,425306.74,25809,13866,357
99202,424224.47,7459,6926,335
59430,423552.49,3034,2656,174
H0041,420974.03,1012,1007,31
88342,419954.29,16885,14700,605
96374,413746.12,61285,39027,789
V5256,397193.31,741,718,39
U0004,397158.0,5472,4873,42
