billing_npi,provider_name,city,zip,provider_type,total_paid,total_claims,total_beneficiaries,cost_per_claim,cost_per_beneficiary,claims_per_beneficiary,months_active,unique_hcpcs_codes
1700961646,"CHRYSALIS CENTER, LLC",FORT LAUDERDALE,33312,NPI-2,155274211.57,2970772,1041753,52.27,149.05,2.9,84,15
1720396542,"DYNAMIKS HOME CARE, INC.",PALM SPRINGS,33461,NPI-2,55952942.07,111774,5686,500.59,9840.48,19.7,72,5
1124261284,"AMBASSADOR HOME HEALTH SERVICES, INC.",MIRAMAR,33027,NPI-2,54816292.2,89352,4012,613.49,13663.08,22.3,68,3
1932551835,"ALL VIP CARE, INC.",WEST PALM BEACH,33407,NPI-2,46334173.49,857495,55074,54.03,841.31,15.6,82,5
1023477940,"AMBASSADOR HEALTH SERVICES, INC",JACKSONVILLE,32256,NPI-2,42597176.61,84397,5377,504.72,7922.11,15.7,71,8
1659730570,AMBASSADOR HEALTH SERVICES INC,ORLANDO,32801,NPI-2,35703685.63,48482,2262,736.43,15784.12,21.4,63,2
1316363757,"DNA COMPREHENSIVE THERAPY SERVICES, LLC",FORT MYERS,33916,NPI-2,30663966.18,567587,398572,54.03,76.93,1.4,80,30
1417952748,"BETHESDA HOSPITAL, INC.",BOYNTON BEACH,33435,NPI-2,23175143.51,820550,600792,28.24,38.57,1.4,84,244
1164707998,"AUDIOLOGY DISTRIBUTION, LLC",DUBLIN,43017,NPI-2,21855478.66,102910,95964,212.37,227.75,1.1,83,27
1225436199,BELLE GLADE DIALYSIS CENTER LLC,BELLE GLADE,33430,NPI-2,21699129.17,141273,40417,153.6,536.88,3.5,83,46
1174987887,"HEALTHY LIVING TREATMENT, LLC",WEST CHESTER,45069,NPI-2,20456502.91,76886,13448,266.06,1521.16,5.7,77,17
1083867030,"NURSING CARE SERVICES, INC.",GREENACRES,33463,NPI-2,20006930.68,374224,24175,53.46,827.59,15.5,43,5
1821458910,AMBASSADOR HEALTH SERVICES INC,PALM HARBOR,34683,NPI-2,19295953.44,35185,1782,548.41,10828.26,19.7,66,2
1376979039,"CARING HOME CARE, INC.",BOYNTON BEACH,33472,NPI-2,19236681.79,381894,24337,50.37,790.43,15.7,73,6
1679581250,"CAMELOT COMMUNITY CARE, INC.",CLEARWATER,33760,NPI-2,19084963.23,175603,32501,108.68,587.21,5.4,84,15
1821272972,CAYUGA HOME FOR CHILDREN,AUBURN,13021,NPI-2,17708759.89,161191,43188,109.86,410.04,3.7,65,15
1922467844,AMBASSADOR HEALTH SERVICES INC,TAMPA,33619,NPI-2,17028762.44,142639,8788,119.38,1937.73,16.2,65,7
1245752062,BRIDGE OF CARE LLC,MIAMI,33165,NPI-2,16679741.44,245460,27254,67.95,612.01,9.0,84,6
1528014669,PALMS WEST HOSPITAL LIMITED PARTNERSHIP,LOXAHATCHEE,33470,NPI-2,15918693.43,622063,511478,25.59,31.12,1.2,84,206
1083910632,,,,,15032379.25,376991,331246,39.87,45.38,1.1,73,94
1972854149,"FLORIDA CHILDREN'S DENTISTRY, P.A.",HIALEAH,33012,NPI-2,14885468.92,718137,615388,20.73,24.19,1.2,59,48
1770949356,AMBASSADOR HEALTH SERVICES INC,DELRAY BEACH,33445,NPI-2,14705599.74,26117,1145,563.07,12843.32,22.8,52,2
1699038836,ADT LLC,PALM HARBOR,34684,NPI-2,13647442.49,606381,552669,22.51,24.69,1.1,83,6
1740690254,SOMA MEDICAL CENTER PA 7,LAKE WORTH,33461,NPI-2,13252533.31,341806,299160,38.77,44.3,1.1,74,85
1184691503,"DVA HEALTHCARE RENAL CARE, INC.",PALM SPRINGS,33406,NPI-2,12732878.12,126486,17488,100.67,728.09,7.2,69,21
1437143054,,,,,12288764.29,11349,2596,1082.81,4733.73,4.4,72,1
1023508405,"AMBASSADOR HEALTH SERVICES, INC.",SPRING HILL,34608,NPI-2,11050586.58,21177,1128,521.82,9796.62,18.8,50,2
1124290978,AFFINITY HOME CARE INC.,POMPANO BEACH,33064,NPI-2,10687053.13,181457,18891,58.9,565.72,9.6,45,6
1184625733,"FLORIDA ENT ASSOCIATES, INC.",WEST MIAMI,33144,NPI-2,10458027.48,160805,110935,65.04,94.27,1.4,70,36
1881990802,"SOMA MEDICAL CENTER, PA 2",PALM SPRINGS,33461,NPI-2,10205296.66,274450,221467,37.18,46.08,1.2,73,91
1801885413,DISTRICT HOSPITAL HOLDINGS INC,BELLE GLADE,33430,NPI-2,9442557.08,415661,300091,22.72,31.47,1.4,84,150
1932340270,"ABSOLUTE CAREGIVERS HOME HEALTH AGENCY, INC.",GREENACRES,33463,NPI-2,9286048.59,149862,11526,61.96,805.66,13.0,73,9
1487977526,"ALL HEALTH CARE SERVICES, INC.",LAKE WORTH BEACH,33460,NPI-2,9158474.64,178372,9518,51.34,962.23,18.7,79,8
1356469662,"CSI PRIVATE DUTY SERVICES, INC",PALM SPRINGS,33406,NPI-2,9099484.64,196148,11317,46.39,804.05,17.3,84,8
1568439685,,,,,8966306.58,167521,113602,53.52,78.93,1.5,63,8
1104337773,"VIP KIDZ LOXAHATCHEE, LLC",LOXAHATCHEE,33470,NPI-2,8476718.49,68525,4848,123.7,1748.5,14.1,82,2
1972615714,"BIO-MEDICAL APPLICATIONS OF FLORIDA, INC.",WEST PALM BEACH,33411,NPI-2,8136490.51,38631,13709,210.62,593.51,2.8,46,28
1043550692,"HOUSING PARTNERSHIP, INC.",RIVIERA BEACH,33404,NPI-2,7625375.63,144517,58781,52.76,129.73,2.5,66,10
1396186268,"ARALIFE CASE MANAGEMENT SERVICES, INC",WEST PALM BEACH,33409,NPI-2,7366995.59,110423,14612,66.72,504.17,7.6,83,2
1700310190,AIDING WITH CARE HEALTH SERVICES INC,MARGATE,33063,NPI-2,7336468.22,38852,1681,188.83,4364.35,23.1,52,2
1588636450,NAGARAKERE SHANKARAIAH MD,PALM SPRINGS,33461,NPI-2,7065344.5,157583,140284,44.84,50.36,1.1,83,42
1184065559,A PLACE FOR YOU ADULT DAY CARE AND REHAB CENTER CORP.,PALM SPRINGS,33461,NPI-2,7047447.74,109222,7735,64.52,911.11,14.1,79,5
1114392107,,,,,6813672.8,260615,228751,26.14,29.79,1.1,83,26
1467786475,"CARLYLE THERAPY ASSOCIATES, LLC",PALM BEACH GARDENS,33410,NPI-2,6107303.75,104248,31491,58.58,193.94,3.3,73,6
1316114168,"COMPASSIONATE CARE NR, LLC",BOYNTON BEACH,33437,NPI-2,6045497.22,71663,6264,84.36,965.12,11.4,73,3
1548854565,ABOVE AND BEYOND HOME HEALTH CARE SERVICES INC.,GREENACRES,33467,NPI-2,5993207.88,107456,7076,55.77,846.98,15.2,44,3
1427250455,"EDWIN LIU, MD PA",LOXAHATCHEE,33470,NPI-2,5969849.44,40495,39317,147.42,151.84,1.0,75,21
1215938444,"BARTOW REHABILITATION CENTER, LLC",BARTOW,33830,NPI-2,5619558.22,107292,5634,52.38,997.44,19.0,61,12
