billing_npi,servicing_npi,hcpcs_code,claim_from_month,total_unique_beneficiaries,total_claims,total_paid
1376609297,1376609297,T1019,2024-07,39765,1205701,118887675.31
1376609297,1376609297,T1019,2024-08,39677,1152534,115561066.11
1376609297,1376609297,T1019,2024-05,39678,1157235,112823255.30
1376609297,1376609297,T1019,2024-06,39834,1164582,111449173.13
1376609297,1376609297,T1019,2024-09,39527,1099808,111199832.57
1376609297,1376609297,T1019,2023-12,35011,1126059,108654424.08
1376609297,1376609297,T1019,2024-10,38705,1049751,107690814.77
1376609297,1376609297,T1019,2023-05,39160,1202398,107504894.55
1376609297,1376609297,T1019,2023-03,38858,1218388,107350444.62
1376609297,1376609297,T1019,2024-01,35029,1127389,107097709.23
1376609297,1376609297,T1019,2024-03,38160,1087063,104727513.47
1376609297,1376609297,T1019,2023-10,34860,1064642,103630659.12
1376609297,1376609297,T1019,2022-05,38456,1180315,103075855.00
1376609297,1376609297,T1019,2023-04,38987,1148650,102695845.07
1376609297,1376609297,T1019,2022-08,38230,1177425,102535435.35
1376609297,1376609297,T1019,2024-04,35952,1039887,102524798.67
1376609297,1376609297,T1019,2022-07,38344,1201576,102046918.74
1376609297,1376609297,T1019,2023-07,35171,1116597,101493876.67
1376609297,1376609297,T1019,2023-08,35191,1093176,101253721.85
1376609297,1376609297,T1019,2022-01,37841,1056979,101079555.00
1376609297,1376609297,T1019,2023-09,35096,1050555,100054621.40
1376609297,1376609297,T1019,2022-06,38438,1144931,99853690.00
1376609297,1376609297,T1019,2023-01,36552,1133460,99041713.07
1376609297,1376609297,T1019,2022-04,38219,1134813,98812845.00
1376609297,1376609297,T1019,2022-03,38098,1013674,98713611.08
1376609297,1376609297,T1019,2022-10,37981,1120009,98339631.52
1376609297,1376609297,T1019,2023-11,34495,1020888,98269821.56
1376609297,1376609297,T1019,2024-02,38017,1022012,97899274.65
1376609297,1376609297,T1019,2022-09,38238,1107628,96631527.72
1376609297,1376609297,T1019,2023-06,38599,1046043,94937006.53
1376609297,1376609297,T1019,2022-11,34438,1071071,93439759.64
1376609297,1376609297,T1019,2023-02,38497,1054313,92928567.51
1376609297,1376609297,T1019,2022-12,34293,1036060,91520744.99
1376609297,1376609297,T1019,2022-02,37787,928488,90176965.00
1376609297,1376609297,T1019,2024-11,31676,787315,84814419.88
1922467554,1922467554,T1019,2024-07,28053,546207,82917536.32
1922467554,1922467554,T1019,2024-05,26940,532679,80004885.61
1922467554,1922467554,T1019,2024-04,26665,511360,77215261.03
1922467554,1922467554,T1019,2024-06,27527,500538,75926938.59
1922467554,1922467554,T1019,2024-01,25255,502099,75363400.77
1922467554,1922467554,T1019,2024-03,26149,499197,75238132.72
1922467554,1922467554,T1019,2024-11,29317,504374,71010282.91
1922467554,1922467554,T1019,2024-02,25618,473076,70935310.69
1922467554,1922467554,T1019,2024-10,28894,502214,70308663.84
1922467554,1922467554,T1019,2023-10,24276,473832,69646988.13
1922467554,1922467554,T1019,2023-12,24923,474531,69575418.86
1922467554,1922467554,T1019,2023-11,24671,473860,69338817.96
1922467554,1922467554,T1019,2023-08,23303,454631,66164474.42
1922467554,1922467554,T1019,2023-09,23676,442659,64469103.67
1922467554,1922467554,T1019,2023-05,21944,442643,63921904.82
1922467554,1922467554,T1019,2023-07,22842,435741,63398304.57
1376609297,1376609297,T1019,2021-12,36985,710618,61969545.00
1922467554,1922467554,T1019,2023-06,22526,427428,61866353.91
1922467554,1922467554,T1019,2023-03,20994,416735,60215547.19
1922467554,1922467554,T1019,2023-04,21435,396370,57191893.29
1922467554,1922467554,T1019,2023-01,20162,394511,57035988.52
1417262056,1417262056,T1019,2024-09,34818,597907,55056558.57
1922467554,1922467554,T1019,2022-12,19717,385714,54956784.50
1417262056,1417262056,T1019,2024-08,34690,599234,54781914.50
1417262056,1417262056,T1019,2024-07,34337,644264,54761232.80
1417262056,1417262056,T1019,2024-10,34486,590591,53809750.65
1417262056,1417262056,T1019,2024-05,33732,595379,53401322.33
1922467554,1922467554,T1019,2022-11,19299,372499,53324574.80
1417262056,1417262056,T1019,2024-06,34074,581629,53250080.13
1417262056,1417262056,T1019,2024-01,33875,603803,52946668.11
1922467554,1922467554,T1019,2023-02,20465,362504,52487083.00
1417262056,1417262056,T1019,2023-11,33363,597700,52417283.45
1417262056,1417262056,T1019,2023-10,33142,607495,52416359.25
1417262056,1417262056,T1019,2024-04,33504,597705,52277254.98
1417262056,1417262056,T1019,2024-02,33819,580015,52132534.47
1417262056,1417262056,T1019,2024-03,33071,601225,51473263.69
1922467554,1922467554,T1019,2024-09,21308,370898,51425984.24
1922467554,1922467554,T1019,2022-10,18828,353523,50622691.57
1417262056,1417262056,T1019,2023-09,32630,581215,50235951.33
1376609297,1376609297,T1019,2021-07,18533,580324,49654522.21
1376609297,1376609297,T1019,2021-08,18575,559574,49237837.40
1417262056,1417262056,T1019,2023-08,31728,575778,49046808.31
1417262056,1417262056,T1019,2023-07,31597,571180,48767700.55
1417262056,1417262056,T1019,2023-12,33331,547426,48729988.28
1417262056,1417262056,T1019,2023-06,31559,586553,48554673.73
1417262056,1417262056,T1019,2023-03,30828,578980,48047103.65
1417262056,1417262056,T1019,2023-05,30756,577903,48028831.56
1417262056,1417262056,T1019,2023-04,31068,568351,46853006.04
1417262056,1417262056,T1019,2023-02,30257,557742,46628399.56
1922467554,1922467554,T1019,2022-08,17959,355577,46252616.50
1417262056,1417262056,T1019,2022-12,29808,558276,46125624.97
1922467554,1922467554,T1019,2022-09,18500,352828,45989971.99
1376609297,1376609297,T1019,2021-10,19001,502129,45984100.00
1922467554,1922467554,T1019,2024-08,18101,330406,45703229.53
1376609297,1376609297,T1019,2021-11,19403,506103,45523887.49
1417262056,1417262056,T1019,2022-11,29457,549751,45374745.42
1417262056,1417262056,T1019,2023-01,29982,571769,45310028.42
1417262056,1417262056,T1019,2022-10,29135,555342,45082618.49
1376609297,1376609297,T1019,2021-09,18732,495367,44298937.80
1922467554,1922467554,T1019,2022-06,17916,351934,44083025.79
1922467554,1922467554,T1019,2022-07,18097,348109,43970867.85
1376609297,1376609297,T1019,2020-07,18210,515973,43798993.07
1417262056,1417262056,T1019,2022-08,28481,553632,43723874.80
1417262056,1417262056,T1019,2022-09,28862,543161,43667639.44
1922467554,1922467554,T1019,2022-05,17481,354591,43550197.55
1538649983,1538649983,S5126,2024-07,13350,378600,43324511.60
1417262056,1417262056,T1019,2022-07,28363,546135,43191059.91
1417262056,1417262056,T1019,2022-06,28131,542912,42622382.50
1417262056,1417262056,T1019,2022-05,27841,570496,42202752.90
1922467554,1922467554,T1019,2022-03,16482,334605,42169145.44
1538649983,1538649983,S5126,2024-08,13297,367196,41875055.00
1376609297,1376609297,T1019,2020-05,18021,496327,41698993.41
1417262056,1417262056,T1019,2022-04,27354,564384,41246624.32
1376097303,1376097303,T1019,2024-05,10034,252276,41216505.68
1417262056,1417262056,T1019,2022-03,27051,555242,41197825.71
1538649983,1538649983,S5126,2024-05,13376,376598,41107189.23
1376609297,1376609297,T1019,2020-06,18083,484931,40832626.62
1922467554,1922467554,T1019,2022-04,17127,333373,40743805.23
1538649983,1538649983,S5126,2024-01,13270,368329,40712412.04
1538649983,1538649983,S5126,2024-10,13571,367311,40629255.26
1376609297,1376609297,T1019,2020-04,18124,483270,40574693.18
1538649983,1538649983,S5126,2024-06,13379,359649,40538340.85
1538649983,1538649983,S5126,2024-03,13235,362811,40058665.84
1376609297,1376609297,T1019,2020-10,17265,474358,40041691.85
1376609297,1376609297,T1019,2021-03,18439,535720,40005121.75
1376609297,1376609297,T1019,2021-05,18449,502718,39970411.75
1376609297,1376609297,T1019,2020-08,18365,503276,39937893.29
1538649983,1538649983,S5126,2024-09,13158,355554,39668820.86
1538649983,1538649983,S5126,2024-04,13357,362766,39511503.88
1417262056,1417262056,T1019,2022-02,26575,513850,39304560.12
1376609297,1376609297,T1019,2020-11,17306,468702,39056067.17
1376609297,1376609297,T1019,2019-12,18518,516539,38965615.81
1376609297,1376609297,T1019,2020-01,18503,518660,38887206.70
1417262056,1417262056,T1019,2022-01,26406,534913,38879006.53
1376609297,1376609297,T1019,2020-09,18353,482031,38861976.26
1376097303,1376097303,T1019,2024-04,9865,237114,38841071.48
1376609297,1376609297,T1019,2020-12,17281,460066,38747485.67
1376097303,1376097303,T1019,2024-01,9438,237997,38626326.97
1376097303,1376097303,T1019,2024-03,9695,237527,38610493.24
1376609297,1376609297,T1019,2019-07,18198,512345,38536101.93
1538649983,1538649983,S5126,2023-12,13220,358185,38488013.32
1376609297,1376609297,T1019,2020-03,18493,500764,38382515.39
1376609297,1376609297,T1019,2021-04,18400,489134,38208635.20
1376609297,1376609297,T1019,2019-10,18273,500152,38178268.33
1417262056,1417262056,S5126,2021-07,12755,422445,38133702.93
1538649983,1538649983,S5126,2023-08,13227,360057,38099442.19
1376609297,1376609297,T1019,2019-08,18246,496893,38057391.18
1538649983,1538649983,S5126,2024-02,13241,347782,38050342.16
1538649983,1538649983,S5126,2023-10,13260,363772,37991579.74
1376609297,1376609297,T1019,2019-11,18337,500167,37515997.59
1922467554,1922467554,T1019,2021-12,14943,299623,37350860.74
1417262056,1417262056,S5126,2019-07,16273,553677,37260221.36
1538649983,1538649983,S5126,2023-11,13245,352319,37025986.80
1538649983,1538649983,S5126,2023-09,13210,351099,36926412.33
1376609297,1376609297,T1019,2018-12,17910,498949,36905696.42
1376609297,1376609297,T1019,2019-09,18277,481335,36858614.53
1376609297,1376609297,T1019,2019-01,17838,500946,36827345.91
1417262056,1417262056,S5126,2019-08,16207,548543,36772839.88
1376097303,1376097303,T1019,2023-12,9317,229607,36642300.41
1376609297,1376609297,T1019,2019-03,18068,489577,36597051.37
1376609297,1376609297,T1019,2018-08,17728,484019,36490621.65
1376609297,1376609297,T1019,2021-01,18255,448992,36485169.66
1417262056,1417262056,S5126,2021-08,12757,406513,36138033.85
1376609297,1376609297,T1019,2019-05,18179,481565,36028364.00
1376097303,1376097303,T1019,2024-02,9529,221819,36012357.14
1376097303,1376097303,T1019,2023-10,8961,224411,35979121.76
1922467554,1922467554,T1019,2022-01,15477,280868,35888968.83
1376609297,1376609297,T1019,2021-02,18357,452285,35888764.95
1376609297,1376609297,T1019,2021-06,18318,445463,35874114.95
1376097303,1376097303,T1019,2023-11,9140,223360,35772800.06
1376609297,1376609297,T1019,2020-02,18406,468255,35746118.79
1922467554,1922467554,T1019,2022-02,15981,281727,35720231.78
1376609297,1376609297,T1019,2019-06,18217,478469,35715912.44
1922467554,1922467554,T1019,2021-11,14573,281835,35714094.08
1376097303,1376097303,T1019,2024-07,8767,220657,35394406.16
1376609297,1376609297,T1019,2019-04,18073,473345,35377934.11
1417262056,1417262056,S5126,2021-09,12703,396140,35297688.45
1538649983,1538649983,S5126,2023-07,13125,321095,35134969.33
1538649983,1538649983,S5126,2024-11,13175,308651,35108427.40
1376609297,1376609297,T1019,2018-09,17756,463180,34812517.90
1376609297,1376609297,T1019,2018-11,17833,468720,34663877.68
1376609297,1376609297,T1019,2018-07,17647,462962,34483049.90
1922467554,1922467554,T1019,2021-10,14336,268820,34260437.75
1376609297,1376609297,T1019,2018-01,17200,386645,34138275.23
1417262056,1417262056,S5126,2023-05,13919,330699,34075850.66
1417262056,1417262056,S5126,2021-05,12659,417609,34061124.06
1376609297,1376609297,T1019,2018-03,17245,374227,33950896.46
1376097303,1376097303,T1019,2023-09,8764,211306,33855542.16
1417262056,1417262056,S5126,2021-06,12737,413161,33824862.32
1417262056,1417262056,S5126,2023-03,13810,329602,33799070.13
1417262056,1417262056,S5126,2023-06,13891,316919,33233492.86
1922467554,1922467554,T1019,2021-09,13678,263058,33065588.64
1376609297,1376609297,T1019,2019-02,17892,441402,33044209.31
1417262056,1417262056,S5126,2023-01,13631,318900,32768272.79
1376609297,1376609297,T1019,2018-10,17669,429260,32761366.65
1922467554,1922467554,T1019,2021-08,13200,259538,32570969.91
1417262056,1417262056,S5126,2022-12,13484,313552,32556432.78
1376609297,1376609297,T1019,2018-06,16669,362423,32503677.45
1376097303,1376097303,T1019,2024-06,8496,202506,32473313.17
1417262056,1417262056,S5126,2019-09,15910,486483,32197361.37
1417262056,1417262056,T1019,2021-12,26099,503996,32128025.01
1376609297,1376609297,T1019,2018-05,16043,372773,32049878.64
1417262056,1417262056,S5126,2023-04,13817,309177,32014082.50
1417262056,1417262056,T1019,2024-11,29019,336364,31843637.81
1417262056,1417262056,S5126,2022-08,13236,310160,31828617.47
1417262056,1417262056,S5126,2022-10,13415,309812,31758988.63
1922467554,1922467554,T1019,2021-07,12916,253392,31700166.92
1417262056,1417262056,T1019,2021-10,25921,495550,31629319.98
1417262056,1417262056,T1019,2021-11,26165,484119,31589103.17
1417262056,1417262056,S5126,2021-04,12663,430454,31584035.46
1417262056,1417262056,S5126,2022-11,13450,306476,31470668.31
1376609297,1376609297,T1019,2018-02,17234,338897,31443475.72
1417262056,1417262056,T1019,2021-08,25323,487933,31127465.87
1417262056,1417262056,S5126,2022-09,13286,303620,31029494.83
1922467554,1922467554,T1019,2021-06,12714,247178,31025533.17
1376609297,1376609297,T1019,2018-04,15829,358841,30944284.31
1417262056,1417262056,S5126,2022-07,13159,298986,30874136.09
1417262056,1417262056,T1019,2021-07,25045,486846,30856619.14
1538649983,1538649983,S5126,2023-03,9931,286432,30455869.78
1417262056,1417262056,T1019,2021-09,25475,474716,30423618.43
1417262056,1417262056,S5126,2021-03,12587,402584,30395267.44
1417262056,1417262056,S5126,2024-08,11149,266024,30336294.59
1417262056,1417262056,T1019,2021-05,24306,482358,30298061.88
1417262056,1417262056,S5126,2021-01,12561,396615,30215844.13
1538649983,1538649983,S5126,2023-05,10052,284882,30213691.38
1922467554,1922467554,T1019,2021-05,12553,239017,30211046.29
