billing_npi,total_paid,total_claims,total_beneficiaries,row_count
1417262056,7177816544.46,89773441,5596134,1872
1699703827,6778483867.35,30870976,10549232,140183
1376609297,5571605313.0,63523750,3345513,467
1699725143,3093063112.9,107716418,16440856,37272
1922467554,3025874966.69,21977069,1186413,207
1710176151,2683634591.67,35557539,2441087,3842
1629436241,2596064454.98,16349155,1174610,11672
1982757688,2254946211.7,1950098,594985,13026
1538649983,2105798329.42,22162533,1069174,257
1528263910,1728502977.19,4656205,1617142,18617
1962650622,1682424022.37,11238391,463218,208
1720151046,1476339972.58,7928022,357665,490
1356709976,1452536495.04,5287026,389567,5459
1396051694,1442353043.54,9386423,461789,375
1538144910,1436181704.91,103910314,92077561,73225
1447261540,1398902370.04,8714521,2328336,31395
1750504064,1349935087.72,1662383,224187,825
1417099789,1344222550.12,6184815,1302440,18981
1073055208,1281885231.52,10541518,3026410,26791
1376554592,1225040114.19,1593649,1193380,435
1518096411,1143418621.17,1557105,197206,678
1700090834,1125938944.49,14999665,1524414,28495
1780816991,1107509967.21,6915432,328024,392
1275657553,1101806880.0,7622845,377858,210
1134250475,1097550708.19,1432892,259050,643
1376097303,1081483692.76,6692707,304210,136
1578778726,1080566062.71,23557851,17395896,69969
1083783013,1077342251.7,5875713,264344,283
1326168840,1073667311.34,3312341,621736,250
1659402303,1068150354.86,6138417,1263528,23809
1184703415,1061917965.84,5015054,227919,178
1720145378,1061171577.13,10544174,655257,2128
1194934471,1053552904.84,6532613,1679994,24410
1396049987,1042893317.11,2757160,240183,767
1518098359,1037216238.4,11206578,427194,96
1518049485,1025590031.98,5716218,292702,325
1932341898,996801121.54,306131,283973,87
1952476988,961141901.37,17112336,14680462,80193
1457410904,953479646.08,5589304,252276,204
1093834020,910633453.06,51017667,4556652,1062
1043386659,903144307.96,4320082,1851576,20865
1134260078,894406192.52,34388480,5029593,9392
1124304621,887501813.41,5599208,465275,167
1245354000,881889979.78,781227,138263,745
1871821710,865877079.43,4759464,241832,223
1679525919,863549395.76,16016267,12948304,383449
1053321869,858202022.04,14797415,773734,576
1033571658,848211431.1,5704959,251721,164
1801060363,842517560.21,5447800,250306,214
1730438706,840475278.04,4928110,227232,189
1104963347,806659263.46,4933775,1554907,21479
1124494059,780976224.27,910831,877965,65
1134152986,777537649.43,11019261,8541239,177694
1770022691,775248390.58,5661079,264684,175
1346218294,768481072.41,14457145,12530368,94584
1457562811,767950561.97,4839538,202920,293
1184166027,759749435.75,6527516,1945626,21146
1528338282,759480229.5,4827072,231057,174
1447393319,745668883.76,4169477,194048,235
1528315397,740001913.97,4689038,196653,192
1821275801,737824812.56,4166637,192845,252
1992920417,733082656.72,9313474,550183,161
1770538001,728111212.47,3034929,1491247,16246
1457601965,723937836.8,26606071,3358464,842
1063497451,717466640.82,109455732,101685925,78151
1518911338,716407787.9,8817197,6877120,50667
1063812105,714231712.54,5318854,239911,155
1407897309,708859553.08,9991272,7363021,209041
1104253558,708682479.28,8270331,402703,489
1952346876,708513856.49,1626136,116046,1178
