date,fl_unemployment_rate,fl_total_payrolls,fl_manufacturing_payrolls,fl_private_building_permits,fl_initial_claims
1976-01-31,9.6,,,,
1976-02-29,9.7,,,,
1976-03-31,9.6,,,,
1976-04-30,9.5,,,,
1976-05-31,9.3,,,,
1976-06-30,9.1,,,,
1976-07-31,9.0,,,,
1976-08-31,9.0,,,,
1976-09-30,9.0,,,,
1976-10-31,9.0,,,,
1976-11-30,9.1,,,,
1976-12-31,9.1,,,,
1977-01-31,9.1,,,,
1977-02-28,9.0,,,,
1977-03-31,8.9,,,,
1977-04-30,8.7,,,,
1977-05-31,8.5,,,,
1977-06-30,8.4,,,,
1977-07-31,8.2,,,,
1977-08-31,8.0,,,,
1977-09-30,7.9,,,,
1977-10-31,7.7,,,,
1977-11-30,7.5,,,,
1977-12-31,7.3,,,,
1978-01-31,7.2,,,,
1978-02-28,7.0,,,,
1978-03-31,6.9,,,,
1978-04-30,6.9,,,,
1978-05-31,6.8,,,,
1978-06-30,6.8,,,,
1978-07-31,6.7,,,,
1978-08-31,6.7,,,,
1978-09-30,6.7,,,,
1978-10-31,6.6,,,,
1978-11-30,6.6,,,,
1978-12-31,6.6,,,,
1979-01-31,6.5,,,,
1979-02-28,6.4,,,,
1979-03-31,6.3,,,,
1979-04-30,6.1,,,,
1979-05-31,6.0,,,,
1979-06-30,6.0,,,,
1979-07-31,5.9,,,,
1979-08-31,5.8,,,,
1979-09-30,5.8,,,,
1979-10-31,5.7,,,,
1979-11-30,5.6,,,,
1979-12-31,5.6,,,,
1980-01-31,5.5,,,,
1980-02-29,5.6,,,,
1980-03-31,5.7,,,,
1980-04-30,5.9,,,,
1980-05-31,6.0,,,,
1980-06-30,6.1,,,,
1980-07-31,6.2,,,,
1980-08-31,6.2,,,,
1980-09-30,6.2,,,,
1980-10-31,6.1,,,,
1980-11-30,6.1,,,,
1980-12-31,6.2,,,,
1981-01-31,6.2,,,,
1981-02-28,6.3,,,,
1981-03-31,6.4,,,,
1981-04-30,6.5,,,,
1981-05-31,6.5,,,,
1981-06-30,6.6,,,,
1981-07-31,6.7,,,,
1981-08-31,6.8,,,,
1981-09-30,7.0,,,,
1981-10-31,7.2,,,,
1981-11-30,7.4,,,,
1981-12-31,7.6,,,,
1982-01-31,7.7,,,,
1982-02-28,7.9,,,,
1982-03-31,8.1,,,,
1982-04-30,8.2,,,,
1982-05-31,8.3,,,,
1982-06-30,8.4,,,,
1982-07-31,8.5,,,,
1982-08-31,8.7,,,,
1982-09-30,8.9,,,,
1982-10-31,9.1,,,,
1982-11-30,9.3,,,,
1982-12-31,9.4,,,,
1983-01-31,9.4,,,,
1983-02-28,9.4,,,,
1983-03-31,9.3,,,,
1983-04-30,9.2,,,,
1983-05-31,9.0,,,,
1983-06-30,8.9,,,,
1983-07-31,8.7,,,,
1983-08-31,8.4,,,,
1983-09-30,8.2,,,,
