date,fl_unemployment_rate,fl_total_payrolls,fl_manufacturing_payrolls,fl_private_building_permits,fl_initial_claims
1976-01-01,9.6,,,,
1976-02-01,9.7,,,,
1976-03-01,9.6,,,,
1976-04-01,9.5,,,,
1976-05-01,9.3,,,,
1976-06-01,9.1,,,,
1976-07-01,9.0,,,,
1976-08-01,9.0,,,,
1976-09-01,9.0,,,,
1976-10-01,9.0,,,,
1976-11-01,9.1,,,,
1976-12-01,9.1,,,,
1977-01-01,9.1,,,,
1977-02-01,9.0,,,,
1977-03-01,8.9,,,,
1977-04-01,8.7,,,,
1977-05-01,8.5,,,,
1977-06-01,8.4,,,,
1977-07-01,8.2,,,,
1977-08-01,8.0,,,,
1977-09-01,7.9,,,,
1977-10-01,7.7,,,,
1977-11-01,7.5,,,,
1977-12-01,7.3,,,,
1978-01-01,7.2,,,,
1978-02-01,7.0,,,,
1978-03-01,6.9,,,,
1978-04-01,6.9,,,,
1978-05-01,6.8,,,,
1978-06-01,6.8,,,,
1978-07-01,6.7,,,,
1978-08-01,6.7,,,,
1978-09-01,6.7,,,,
1978-10-01,6.6,,,,
1978-11-01,6.6,,,,
1978-12-01,6.6,,,,
1979-01-01,6.5,,,,
1979-02-01,6.4,,,,
1979-03-01,6.3,,,,
1979-04-01,6.1,,,,
1979-05-01,6.0,,,,
1979-06-01,6.0,,,,
1979-07-01,5.9,,,,
1979-08-01,5.8,,,,
1979-09-01,5.8,,,,
1979-10-01,5.7,,,,
1979-11-01,5.6,,,,
1979-12-01,5.6,,,,
1980-01-01,5.5,,,,
1980-02-01,5.6,,,,
1980-03-01,5.7,,,,
1980-04-01,5.9,,,,
1980-05-01,6.0,,,,
1980-06-01,6.1,,,,
1980-07-01,6.2,,,,
1980-08-01,6.2,,,,
1980-09-01,6.2,,,,
1980-10-01,6.1,,,,
1980-11-01,6.1,,,,
1980-12-01,6.2,,,,
1981-01-01,6.2,,,,
1981-02-01,6.3,,,,
1981-03-01,6.4,,,,
1981-04-01,6.5,,,,
1981-05-01,6.5,,,,
