date,u6_rate,info_sector_emp,prof_business_emp,computer_systems_emp,healthcare_emp,government_emp,jolts_openings,jolts_hires,jolts_quits,unemp_duration_mean,involuntary_part_time,u3_rate
2000-01-31,7.0,3539,16138,2350.9,12749.5,20571,,,,13.1,3208.0,4.0
2000-02-29,7.1,3561,16234,2350.3,12763.6,20599,,,,12.6,3167.0,4.1
2000-03-31,7.1,3586,16417,2360.6,12780.8,20733,,,,12.7,3231.0,4.0
2000-04-30,6.9,3601,16625,2369.9,12791.4,20802,,,,12.4,3186.0,3.8
2000-05-31,7.1,3616,16623,2378.8,12810.5,21147,,,,12.6,3283.0,4.0
2000-06-30,7.0,3656,16872,2390.8,12827.0,20887,,,,12.3,3209.0,4.0
2000-07-31,7.0,3675,16870,2398.2,12847.6,20867,,,,13.4,3144.0,4.0
2000-08-31,7.1,3599,16992,2415.0,12871.3,20837,,,,12.9,3211.0,4.1
2000-09-30,7.0,3661,16994,2410.6,12925.8,20735,,,,12.2,3217.0,3.9
2000-10-31,6.8,3665,17043,2403.9,12957.0,20743,,,,12.7,3179.0,3.9
2000-11-30,7.1,3689,17015,2421.4,12987.9,20760,,,,12.4,3467.0,3.9
2000-12-31,6.9,3716,16878,2440.0,13025.3,20804,5088.0,4.1,2.2,12.5,3243.0,3.9
2001-01-31,7.3,3697,16538,2448.2,13070.3,20835,5234.0,4.3,2.4,12.7,3332.0,4.2
2001-02-28,7.3,3704,16582,2458.2,13115.1,20906,5097.0,4.0,2.3,12.8,3296.0,4.2
2001-03-31,7.3,3713,16644,2475.7,13153.6,20945,4762.0,4.2,2.3,12.8,3280.0,4.3
2001-04-30,7.4,3677,16652,2482.7,13189.1,20992,4615.0,3.9,2.4,12.4,3289.0,4.4
2001-05-31,7.5,3664,16638,2514.9,13232.1,21029,4425.0,4.1,2.3,12.1,3439.0,4.3
2001-06-30,7.9,3656,16747,2502.5,13281.3,21137,4361.0,3.9,2.2,12.7,3792.0,4.5
2001-07-31,7.9,3636,16641,2509.6,13330.8,21185,4447.0,4.0,2.2,12.9,3556.0,4.6
2001-08-31,8.2,3614,16665,2526.1,13373.5,21218,4024.0,4.0,2.2,13.3,3380.0,4.9
2001-09-30,8.7,3567,16536,2543.7,13413.9,21242,4071.0,3.8,2.1,13.2,4233.0,5.0
2001-10-31,9.3,3549,16445,2546.3,13452.5,21275,3707.0,3.9,2.1,13.3,4437.0,5.3
2001-11-30,9.4,3543,16247,2554.8,13489.3,21326,3775.0,3.7,2.0,14.3,4317.0,5.5
2001-12-31,9.6,3532,16109,2564.8,13532.7,21355,3677.0,3.7,2.0,14.5,4393.0,5.7
2002-01-31,9.4,3482,15758,2581.0,13572.0,21377,3699.0,3.7,2.2,14.7,4112.0,5.7
2002-02-28,9.5,3458,15791,2598.9,13601.7,21390,3436.0,3.7,2.0,15.0,4289.0,5.7
2002-03-31,9.4,3448,15908,2608.4,13633.8,21431,3612.0,3.6,1.9,15.4,4101.0,5.7
2002-04-30,9.7,3425,16043,2614.5,13665.6,21443,3471.0,3.8,2.0,16.3,4199.0,5.9
2002-05-31,9.6,3415,16074,2635.9,13689.4,21514,3457.0,3.7,1.9,16.8,4103.0,5.8
2002-06-30,9.5,3417,16215,2677.4,13736.9,21549,3412.0,3.7,1.9,16.9,4048.0,5.8
2002-07-31,9.6,3397,16116,2692.6,13770.9,21544,3367.0,3.8,2.0,16.9,4145.0,5.8
2002-08-31,9.6,3386,16226,2677.2,13808.1,21589,3517.0,3.7,2.0,16.5,4301.0,5.7
2002-09-30,9.6,3329,16168,2667.5,13845.2,21546,3301.0,3.7,1.9,17.6,4329.0,5.7
2002-10-31,9.6,3340,16200,2659.6,13879.1,21559,3479.0,3.7,1.9,17.8,4314.0,5.7
2002-11-30,9.8,3337,16086,2664.7,13920.7,21581,3514.0,3.7,1.8,17.6,4329.0,5.9
2002-12-31,9.8,3301,15908,2662.0,13943.0,21588,3169.0,3.7,1.9,18.5,4321.0,6.0
2003-01-31,9.9,3249,15635,2665.6,13984.4,21626,3441.0,3.9,1.9,18.5,4607.0,5.8
2003-02-28,10.1,3221,15724,2671.1,14023.7,21624,3229.0,3.6,1.9,18.5,4844.0,5.9
2003-03-31,10.0,3214,15769,2668.4,14053.8,21610,3099.0,3.4,1.8,18.1,4652.0,5.9
2003-04-30,10.2,3200,15917,2687.5,14093.9,21595,3108.0,3.5,1.8,19.4,4798.0,6.0
2003-05-31,10.1,3193,15994,2702.0,14119.8,21567,3289.0,3.6,1.8,19.0,4570.0,6.1
2003-06-30,10.3,3199,16164,2686.5,14143.1,21606,3390.0,3.6,1.8,19.9,4592.0,6.3
2003-07-31,10.3,3192,16172,2692.0,14147.9,21633,2981.0,3.6,1.7,19.7,4648.0,6.2
2003-08-31,10.1,3176,16243,2685.8,14165.6,21556,3190.0,3.6,1.7,19.2,4419.0,6.1
2003-09-30,10.4,3148,16265,2695.5,14189.5,21504,3091.0,3.7,1.8,19.5,4882.0,6.1
2003-10-31,10.2,3140,16334,2719.7,14225.3,21558,3305.0,3.8,1.9,19.3,4813.0,6.0
2003-11-30,10.1,3156,16281,2731.2,14244.5,21535,3324.0,3.7,1.8,19.9,4862.0,5.8
2003-12-31,9.8,3165,16183,2738.1,14276.9,21546,3414.0,3.8,1.9,19.8,4750.0,5.7
2004-01-31,9.8,3125,15846,2743.3,14296.1,21538,3424.0,3.7,1.8,19.9,4705.0,5.7
2004-02-29,9.7,3127,15922,2744.0,14319.4,21550,3532.0,3.7,1.9,20.1,4549.0,5.6
2004-03-31,10.0,3126,16069,2752.8,14362.0,21588,3525.0,4.0,2.0,19.8,4742.0,5.8
2004-04-30,9.6,3123,16368,2752.2,14400.8,21614,3511.0,3.9,1.9,19.6,4568.0,5.6
2004-05-31,9.7,3138,16449,2754.2,14434.2,21614,3710.0,3.8,1.8,19.8,4588.0,5.6
2004-06-30,9.6,3156,16637,2744.8,14457.2,21601,3337.0,3.8,2.0,20.5,4443.0,5.6
2004-07-31,9.5,3149,16659,2755.7,14481.0,21606,3814.0,3.7,2.0,18.8,4449.0,5.5
